YOS,Year 1,Year 2,Year 3,Year 4,Year 5
0 YOS,"$1,432,161",,,,
1 YOS,"$2,304,849","$2,420,089",,,
2 YOS,"$2,583,636","$2,712,821","$2,842,000",,
3 YOS,"$2,676,569","$2,810,396","$2,944,222","$3,078,051",
4 YOS,"$2,769,498","$2,907,976","$3,046,451","$3,184,925","$3,323,403"
5 YOS,"$3,001,823","$3,151,915","$3,302,004","$3,452,096","$3,602,188"
6 YOS,"$3,234,152","$3,395,860","$3,557,563","$3,719,271","$3,880,979"
7 YOS,"$3,466,476","$3,639,801","$3,813,125","$3,986,448","$4,159,774"
8 YOS,"$3,698,806","$3,883,745","$4,068,687","$4,253,631","$4,438,572"
9 YOS,"$3,717,218","$3,903,078","$4,088,940","$4,274,802","$4,460,663"
10 YOS,"$4,088,943","$4,293,389","$4,497,838","$4,702,285","$4,906,732"
