Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,"4th Year Option:
Percentage Increased Over 3rd Year Salary","Qualifying Offer:
Percentage Increase Over 4th Year Salary"
1,"$10,474,200","$10,998,100","$11,521,700",26.10%,40.00%
2,"$9,371,400","$9,840,200","$10,308,900",26.20%,40.50%
3,"$8,415,800","$8,836,300","$9,257,400",26.40%,41.20%
4,"$7,587,600","$7,967,100","$8,346,600",26.50%,41.90%
5,"$6,871,100","$7,214,400","$7,558,000",26.70%,42.60%
6,"$6,240,600","$6,552,700","$6,864,900",26.80%,43.40%
7,"$5,697,000","$5,982,000","$6,266,600",27.00%,44.10%
8,"$5,219,100","$5,480,100","$5,741,100",27.20%,44.80%
9,"$4,797,400","$5,037,500","$5,277,300",27.40%,45.50%
10,"$4,557,600","$4,785,400","$5,013,000",27.50%,46.20%
11,"$4,329,600","$4,546,300","$4,762,800",32.70%,46.90%
12,"$4,113,300","$4,319,100","$4,524,800",37.80%,47.60%
13,"$3,907,500","$4,103,100","$4,298,400",42.90%,48.30%
14,"$3,712,400","$3,898,000","$4,083,800",48.10%,49.10%
15,"$3,526,500","$3,702,800","$3,879,100",53.30%,49.80%
16,"$3,350,300","$3,517,800","$3,685,500",53.40%,50.50%
17,"$3,182,600","$3,341,800","$3,500,900",53.60%,51.20%
18,"$3,023,700","$3,174,600","$3,326,000",53.80%,51.90%
19,"$2,887,500","$3,031,800","$3,176,500",54.00%,52.60%
20,"$2,771,800","$2,910,400","$3,048,800",54.20%,53.30%
21,"$2,661,000","$2,794,200","$2,927,300",59.30%,54.10%
22,"$2,554,700","$2,682,300","$2,810,100",64.50%,54.80%
23,"$2,452,600","$2,575,400","$2,697,600",69.70%,55.50%
24,"$2,354,600","$2,472,300","$2,590,000",74.90%,56.20%
25,"$2,260,100","$2,373,000","$2,486,400",80.10%,56.90%
26,"$2,185,300","$2,294,400","$2,403,700",80.30%,57.60%
27,"$2,122,200","$2,228,400","$2,334,700",80.40%,58.30%
28,"$2,109,000","$2,214,800","$2,320,200",80.50%,59.00%
29,"$2,093,900","$2,198,500","$2,303,300",80.50%,60.00%
30,"$2,078,600","$2,182,500","$2,286,700",80.50%,60.00%
