YOS,Year 1,Year 2,Year 3,Year 4,Year 5
0 YOS,"$1,157,153",,,,
1 YOS,"$1,862,265","$1,955,377",,,
2 YOS,"$2,087,519","$2,191,897","$2,296,271",,
3 YOS,"$2,162,606","$2,270,735","$2,378,864","$2,486,995",
4 YOS,"$2,237,691","$2,349,578","$2,461,462","$2,573,347","$2,685,233"
5 YOS,"$2,425,403","$2,546,675","$2,667,944","$2,789,215","$2,910,485"
6 YOS,"$2,613,120","$2,743,776","$2,874,429","$3,005,085","$3,135,742"
7 YOS,"$2,800,834","$2,940,876","$3,080,918","$3,220,959","$3,361,002"
8 YOS,"$2,988,550","$3,137,977","$3,287,406","$3,436,836","$3,586,264"
9 YOS,"$3,003,427","$3,153,598","$3,303,770","$3,453,941","$3,604,113"
10 YOS,"$3,303,771","$3,468,960","$3,634,150","$3,799,338","$3,964,527"
