YOS,Year 1,Year 2,Year 3,Year 4,Year 5
0 YOS,"$1,357,763",,,,
1 YOS,"$2,185,116","$2,294,370",,,
2 YOS,"$2,449,421","$2,571,895","$2,694,363",,
3 YOS,"$2,537,526","$2,664,401","$2,791,275","$2,918,152",
4 YOS,"$2,625,627","$2,756,912","$2,888,193","$3,019,474","$3,150,758"
5 YOS,"$2,845,883","$2,988,178","$3,130,471","$3,272,766","$3,415,061"
6 YOS,"$3,066,143","$3,219,451","$3,372,754","$3,526,061","$3,679,369"
7 YOS,"$3,286,399","$3,450,720","$3,615,040","$3,779,359","$3,943,681"
8 YOS,"$3,506,659","$3,681,991","$3,857,326","$4,032,662","$4,207,996"
9 YOS,"$3,524,115","$3,700,320","$3,876,527","$4,052,733","$4,228,939"
10 YOS,"$3,876,529","$4,070,355","$4,264,183","$4,458,009","$4,651,836"
