YOS,Year 1,Year 2,Year 3,Year 4,Year 5
0 YOS,"$1,503,769",,,,
1 YOS,"$2,420,091","$2,541,093",,,
2 YOS,"$2,712,818","$2,848,462","$2,984,100",,
3 YOS,"$2,810,397","$2,950,916","$3,091,433","$3,231,954",
4 YOS,"$2,907,973","$3,053,375","$3,198,774","$3,344,171","$3,489,573"
5 YOS,"$3,151,914","$3,309,511","$3,467,104","$3,624,701","$3,782,297"
6 YOS,"$3,395,860","$3,565,653","$3,735,441","$3,905,235","$4,075,028"
7 YOS,"$3,639,800","$3,821,791","$4,003,781","$4,185,770","$4,367,763"
8 YOS,"$3,883,746","$4,077,932","$4,272,121","$4,466,313","$4,660,501"
9 YOS,"$3,903,079","$4,098,232","$4,293,387","$4,488,542","$4,683,696"
10 YOS,"$4,293,390","$4,508,058","$4,722,730","$4,937,399","$5,152,069"
