Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,"4th Year Option:
Percentage Increased Over 3rd Year Salary","Qualifying Offer:
Percentage Increase Over 4th Year Salary"
1,"$10,133,900","$10,640,800","$11,147,400",26.10%,40.00%
2,"$9,067,000","$9,520,500","$9,974,000",26.20%,40.50%
3,"$8,142,400","$8,549,300","$8,956,700",26.40%,41.20%
4,"$7,341,100","$7,708,300","$8,075,500",26.50%,41.90%
5,"$6,647,900","$6,980,000","$7,312,500",26.70%,42.60%
6,"$6,037,900","$6,339,800","$6,641,900",26.80%,43.40%
7,"$5,511,900","$5,787,700","$6,063,000",27.00%,44.10%
8,"$5,049,600","$5,302,100","$5,554,600",27.20%,44.80%
9,"$4,641,600","$4,873,900","$5,105,900",27.40%,45.50%
10,"$4,409,500","$4,629,900","$4,850,200",27.50%,46.20%
11,"$4,189,000","$4,398,600","$4,608,100",32.70%,46.90%
12,"$3,979,700","$4,178,800","$4,377,800",37.80%,47.60%
13,"$3,780,600","$3,969,800","$4,158,800",42.90%,48.30%
14,"$3,591,800","$3,771,400","$3,951,100",48.10%,49.10%
15,"$3,411,900","$3,582,500","$3,753,100",53.30%,49.80%
16,"$3,241,500","$3,403,500","$3,565,800",53.40%,50.50%
17,"$3,079,200","$3,233,200","$3,387,200",53.60%,51.20%
18,"$2,925,500","$3,071,500","$3,218,000",53.80%,51.90%
19,"$2,793,700","$2,933,300","$3,073,300",54.00%,52.60%
20,"$2,681,800","$2,815,900","$2,949,800",54.20%,53.30%
21,"$2,574,600","$2,703,400","$2,832,200",59.30%,54.10%
22,"$2,471,700","$2,595,200","$2,718,800",64.50%,54.80%
23,"$2,372,900","$2,491,700","$2,610,000",69.70%,55.50%
24,"$2,278,100","$2,392,000","$2,505,900",74.90%,56.20%
25,"$2,186,700","$2,295,900","$2,405,600",80.10%,56.90%
26,"$2,114,300","$2,219,900","$2,325,600",80.30%,57.60%
27,"$2,053,300","$2,156,000","$2,258,900",80.40%,58.30%
28,"$2,040,500","$2,142,900","$2,244,800",80.50%,59.00%
29,"$2,025,900","$2,127,100","$2,228,500",80.50%,60.00%
30,"$2,011,100","$2,111,600","$2,212,400",80.50%,60.00%
