Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,"4th Year Option:
Percentage Increased Over 3rd Year Salary","Qualifying Offer:
Percentage Increase Over 4th Year Salary"
1,"$12,290,000","$12,904,800","$13,519,200",26.10%,40.00%
2,"$10,996,100","$11,546,100","$12,096,100",26.20%,40.50%
3,"$9,874,800","$10,368,200","$10,862,400",26.40%,41.20%
4,"$8,903,100","$9,348,300","$9,793,600",26.50%,41.90%
5,"$8,062,300","$8,465,200","$8,868,300",26.70%,42.60%
6,"$7,322,500","$7,688,700","$8,055,000",26.80%,43.40%
7,"$6,684,700","$7,019,100","$7,353,000",27.00%,44.10%
8,"$6,123,900","$6,430,100","$6,736,400",27.20%,44.80%
9,"$5,629,000","$5,910,900","$6,192,200",27.40%,45.50%
10,"$5,347,800","$5,615,000","$5,882,100",27.50%,46.20%
11,"$5,080,200","$5,334,400","$5,588,500",32.70%,46.90%
12,"$4,826,400","$5,067,900","$5,309,300",37.80%,47.60%
13,"$4,585,000","$4,814,400","$5,043,500",42.90%,48.30%
14,"$4,356,000","$4,573,800","$4,791,800",48.10%,49.10%
15,"$4,137,900","$4,344,800","$4,551,600",53.30%,49.80%
16,"$3,931,100","$4,127,700","$4,324,500",53.40%,50.50%
17,"$3,734,400","$3,921,200","$4,107,800",53.60%,51.20%
18,"$3,547,900","$3,725,000","$3,902,600",53.80%,51.90%
19,"$3,388,100","$3,557,400","$3,727,200",54.00%,52.60%
20,"$3,252,300","$3,414,900","$3,577,400",54.20%,53.30%
21,"$3,122,300","$3,278,600","$3,434,800",59.30%,54.10%
22,"$2,997,600","$3,147,300","$3,297,300",64.50%,54.80%
23,"$2,877,800","$3,021,800","$3,165,300",69.70%,55.50%
24,"$2,762,800","$2,900,900","$3,039,000",74.90%,56.20%
25,"$2,651,900","$2,784,400","$2,917,400",80.10%,56.90%
26,"$2,564,100","$2,692,100","$2,820,400",80.30%,57.60%
27,"$2,490,100","$2,614,700","$2,739,500",80.40%,58.30%
28,"$2,474,600","$2,598,800","$2,722,400",80.50%,59.00%
29,"$2,456,900","$2,579,700","$2,702,600",80.50%,60.00%
30,"$2,439,000","$2,560,900","$2,683,200",80.50%,60.00%
