team,bbref_id,player_name,age,guaranteed_remaining
DAL,marshna01,Naji Marshall,28,61286031
DAL,chrisma02,Max Christie,23,8285714
DAL,livelde01,Dereck Lively II,22,7239131
DAL,johnsmo01,Morez Johnson Jr.,20,13847880
DAL,sassema01,Marcus Sasser,26,5198983
DAL,delarse01,Sergio de Larrea,20,6523560
DAL,biberta01,Tarik Biberovic,25,3000000
DAL,cissemo01,Moussa Cisse,24,2185116
DAL,lawalto01,Tobi Lawal,23,
DAL,howarje01,Jett Howard,23,
DAL,thompkl01,Klay Thompson,36,17460317
DAL,mcgeeja01,JaVale McGee,38,4417712
DAL,prospol01,Olivier-Maxence Prosper,24,2004720
DEN,jokicni01,Nikola Jokić,31,59033114
DEN,murraja01,Jamal Murray,29,161451468
DEN,gordoaa01,Aaron Gordon,31,70008717
DEN,johnsca02,Cameron Johnson,30,23062500
DEN,braunch01,Christian Braun,25,125000000
DEN,nnajize01,Zeke Nnaji,25,7466667
DEN,jonessp01,Spencer Jones,25,11750000
DEN,strawju01,Julian Strawther,24,4826931
DEN,holmeda01,DaRon Holmes,24,3372120
DEN,walkelo01,Lonnie Walker IV,27,
DEN,baglema01,Marvin Bagley III,27,2449421
DEN,derozde01,DeMar DeRozan,37,2449421
DEN,jonesty01,Tyus Jones,30,2449421
DEN,brazitr01,Trevon Brazile,23,1357763
DEN,hopkibr01,Bryce Hopkins,24,
DEN,whitmca01,Cam Whitmore,22,
DET,cunnica01,Cade Cunningham,24,222691680
DET,collijo01,John Collins,29,17000000
DET,robindu01,Duncan Robinson,32,
DET,joeis01,Isaiah Joe,27,11323006
DET,thompau01,Ausar Thompson,23,11117925
DET,hollaro01,Ron Holland,21,9069600
DET,huertke01,Kevin Huerter,28,27000000
DET,reedpa01,Paul Reed,27,
DET,okorieb01,Ebuka Okorie,19,9186720
DET,jenkida01,Daniss Jenkins,25,4000000
DET,greenja02,Javonte Green,33,3943679
DET,harriga01,Gary Harris,32,3815861
DET,princta02,Taurean Prince,32,3815861
DET,smithto05,Tolu Smith,26,2411090
DET,laniech01,Chaz Lanier,24,2150917
DET,harklej01,Elijah Harkless,26,
DET,onyenug01,Ugonna Onyenso,22,
GSW,curryst01,Stephen Curry,38,62587158
GSW,butleji01,Jimmy Butler,37,56832773
GSW,greendr01,Draymond Green,36,27678571
GSW,porzikr01,Kristaps Porziņģis,31,19512195
GSW,moodymo01,Moses Moody,24,25925925
GSW,horfoal01,Al Horford,40,13985100
GSW,lendeya01,Yaxel Lendeborg,23,12497520
GSW,podzibr01,Brandin Podziemski,23,5679459
GSW,meltode01,De'Anthony Melton,28,5477000
GSW,santogu01,Gui Santos,24,9629630
GSW,willibr03,Brandon Williams,26,
GSW,paytoga02,Gary Payton II,33,2449421
GSW,niangge01,Georges Niang,33,
GSW,bassech01,Charles Bassey,25,2449421
GSW,tooheal01,Alex Toohey,22,
GSW,richawi02,Will Richard,23,2150917
GSW,boydni01,Nick Boyd,25,
GSW,terryda01,Dalen Terry,24,
GSW,agbimob01,Obi Agbim,24,
HOU,duranke01,Kevin Durant,37,43902439
HOU,sengual01,Alperen Şengün,24,112018349
HOU,vanvlfr01,Fred VanVleet,32,25000000
HOU,smithja05,Jabari Smith Jr.,23,122000000
HOU,easonta01,Tari Eason,25,62951724
HOU,adamsst01,Steven Adams,33,24869566
HOU,thompam01,Amen Thompson,23,220258609
HOU,sheppre01,Reed Sheppard,22,11108880
HOU,capelca01,Clint Capela,32,14405000
HOU,smartma01,Marcus Smart,32,6064000
HOU,phillju01,Julian Phillips,22,2537526
HOU,tshieos01,Oscar Tshiebwe,26,2537526
HOU,crawfis01,Isaiah Crawford,24,5113822
HOU,tateja01,Jae'Sean Tate,30,2449421
HOU,bogdabo01,Bogdan Bogdanović,34,2449421
HOU,thornbr01,Bruce Thornton,23,1357763
HOU,pedulse01,Sean Pedulla,23,
HOU,copelqu01,Quadir Copeland,23,
HOU,castrra01,Rafael Castro,23,
IND,halibty01,Tyrese Haliburton,26,156896208
IND,siakapa01,Pascal Siakam,32,101223360
IND,zubaciv01,Ivica Zubac,29,42132440
IND,nembhan01,Andrew Nembhard,26,40548480
IND,toppiob01,Obi Toppin,28,31025000
IND,mccontj01,T.J. McConnell,34,22800000
IND,nesmiaa01,Aaron Nesmith,26,51389440
IND,walkeja02,Jarace Walker,23,8478542
IND,oubreke01,Kelly Oubre Jr.,30,16500000
IND,sheppbe01,Ben Sheppard,25,5031669
IND,huffja01,Jay Huff,28,
IND,nancela02,Larry Nance Jr.,33,2449421
IND,furphjo01,Johnny Furphy,21,2296271
IND,keitake01,Keba Keita,23,
IND,mastri01,Rienk Mast,25,
IND,jacksqu01,Quenton Jackson,28,
IND,brownko01,Kobe Brown,26,
IND,slawsja01,Jalen Slawson,26,
IND,smithbr01,Braden Smith,23,
LAC,garlada01,Darius Garland,26,87053440
LAC,ingrabr01,Brandon Ingram,29,40000000
LAC,strusma01,Max Strus,30,16660836
LAC,hachiru01,Rui Hachimura,28,14000000
LAC,jonesde02,Derrick Jones Jr.,29,10476190
LAC,wagleke01,Keaton Wagler,19,19833000
LAC,lopezbr01,Brook Lopez,38,9187500
LAC,dickgr01,Gradey Dick,22,7131511
LAC,jacksis01,Isaiah Jackson,24,13400000
LAC,bealbr01,Bradley Beal,33,6424800
LAC,batumni01,Nicolas Batum,37,
LAC,dunnkr01,Kris Dunn,32,
LAC,millejo02,Jordan Miller,26,5300000
LAC,konanya01,Yanic Konan Niederhäuser,23,2880960
LAC,sandeko01,Kobe Sanders,24,5375385
LAC,kawamyu01,Yuki Kawamura,25,
LAC,chrisca02,Cam Christie,21,
LAC,broomjo01,Johni Broome,24,2150917
LAC,milleba01,Baba Miller,22,4000000
LAC,martini01,Nick Martinelli,22,
LAC,pickeja02,Jalen Pickett,26,
LAC,sharpja01,Jamarion Sharp,25,
LAL,doncilu01,Luka Dončić,27,103584000
LAL,reaveau01,Austin Reaves,28,133618410
LAL,kesslwa01,Walker Kessler,25,95232558
LAL,grimequ01,Quentin Grimes,26,43953489
LAL,mamuksa01,Sandro Mamukelashvili,27,38350000
LAL,vandeja01,Jarred Vanderbilt,27,12428571
LAL,sextoco01,Collin Sexton,27,19200300
LAL,laravja01,Jake LaRavia,24,6000000
LAL,hardyja02,Jaden Hardy,24,6000000
LAL,knechda01,Dalton Knecht,25,4201080
LAL,carrca01,Cameron Carr,21,6796440
LAL,willizi02,Ziaire Williams,25,2449421
LAL,looneke01,Kevon Looney,30,2449421
LAL,thybuma01,Matisse Thybulle,29,2449421
LAL,jamesbr02,Bronny James,21,
LAL,thierad01,Adou Thiero,22,2150917
LAL,johnsme02,Meechie Johnson,24,
LAL,rossch01,Chase Ross,23,
LAL,okereak01,AK Okereke,23,
LAL,smithni01,Nick Smith Jr.,22,
LAL,manonch01,Chris Mañon,24,
LAL,kalumar01,Arthur Kaluma,24,
MEM,grantje01,Jerami Grant,32,34206898
MEM,stewais01,Isaiah Stewart,25,15000000
MEM,boozeca02,Cameron Boozer,19,24291600
MEM,jeromty01,Ty Jerome,29,9220050
MEM,postqu01,Quinten Post,26,8285714
MEM,hendrta01,Taylor Hendricks,22,7805900
MEM,hawkijo01,Jordan Hawkins,24,7021895
MEM,edeyza01,Zach Edey,24,6332760
MEM,cowarce01,Cedric Coward,23,6001080
MEM,russeda01,D'Angelo Russell,30,5969250
MEM,murrakr01,Kris Murray,26,5315004
MEM,claytwa01,Walter Clayton,23,4190520
MEM,lopezka01,Karim López,19,7681080
MEM,prospol01,Olivier-Maxence Prosper,24,2497812
MEM,pippesc02,Scotty Pippen Jr.,25,
MEM,spencca01,Cam Spencer,26,5027844
MEM,jacksgg01,GG Jackson II,21,2406205
MEM,wellsja01,Jaylen Wells,23,
MEM,peavymi01,Micah Peavy,25,2150917
MEM,caldwke01,Kentavious Caldwell-Pope,33,17744971
MEM,anthoco01,Cole Anthony,26,7400000
MEM,diakima01,Mamadi Diakite,29,464050
MIA,antetgi01,Giannis Antetokounmpo,31,58456566
MIA,adebaba01,Bam Adebayo,29,103584000
MIA,wiggian01,Andrew Wiggins,31,46515798
MIA,jovicni01,Nikola Jović,23,62400000
MIA,portibo01,Bobby Portis,31,14521414
MIA,mitchda01,Davion Mitchell,28,12400000
MIA,hardati02,Tim Hardaway Jr.,34,6500000
MIA,thompkl01,Klay Thompson,36,5600000
MIA,smithdr01,Dru Smith,28,
MIA,fontesi01,Simone Fontecchio,30,2449421
MIA,richani01,Nick Richards,28,2449421
MIA,larsspe01,Pelle Larsson,25,2296271
MIA,gardnmy01,Myron Gardner,25,
MIA,conwery01,Ryan Conwell,22,3652133
MIA,hadlejv01,J'Vonne Hadley,24,
MIA,youngja05,Jahmir Young,25,
MIA,johnske10,Keshad Johnson,25,
MIA,goldivl01,Vladislav Goldin,25,
MIA,donaltr01,Tre Donaldson,22,
MIL,herroty01,Tyler Herro,26,33000000
MIL,turnemy01,Myles Turner,30,54434241
MIL,kuzmaky01,Kyle Kuzma,31,20345152
MIL,trentga02,Gary Trent Jr.,27,64000000
MIL,leverca01,Caris LeVert,32,14809200
MIL,greenaj01,A.J. Green,26,45000000
MIL,burribr01,Brayden Burries,21,13155360
MIL,jaqueja01,Jaime Jaquez Jr.,25,5939141
MIL,diengou01,Ousmane Dieng,23,11500000
MIL,amentna01,Nate Ament,19,11279280
MIL,porteke02,Kevin Porter Jr.,26,5390700
MIL,wareke01,Kel'el Ware,22,4654920
MIL,rolliry01,Ryan Rollins,24,4000000
MIL,jakucka01,Kasparas Jakučionis,20,3841680
