team,season,bbref_id,player_name,years_experience,birth_date,position,height,weight,college
MIN,2025-26,zikarro01,Rocco Zikarsky,0,"July 11, 2006",C,7-3,227,
NOP,2025-26,alexatr01,Trey Alexander,1,"May 2, 2003",SG,6-5,185,Creighton
NOP,2025-26,alvarjo01,Jose Alvarado,4,"April 12, 1998",PG,6-0,179,Georgia Tech
NOP,2025-26,beysa01,Saddiq Bey,4,"April 9, 1999",SF,6-8,215,Villanova
NOP,2025-26,dickihu01,Hunter Dickinson,0,"November 25, 2000",C,7-1,255,"Michigan , Kansas"
NOP,2025-26,fearsje01,Jeremiah Fears,0,"October 14, 2006",PG,6-3,190,Oklahoma
NOP,2025-26,hawkijo01,Jordan Hawkins,2,"April 29, 2002",SG,6-5,190,UConn
NOP,2025-26,joneshe01,Herbert Jones,4,"October 6, 1998",SF,6-7,206,Alabama
NOP,2025-26,jordade01,DeAndre Jordan,17,"July 21, 1988",C,6-11,265,Texas A&M
NOP,2025-26,looneke01,Kevon Looney,10,"February 6, 1996",C,6-9,222,UCLA
NOP,2025-26,matkoka01,Karlo Matković,1,"March 30, 2001",PF,6-10,231,
NOP,2025-26,mcgowbr01,Bryce McGowens,3,"November 8, 2002",SG,6-6,190,Nebraska
NOP,2025-26,missiyv01,Yves Missi,1,"May 14, 2004",C,6-11,235,Baylor
NOP,2025-26,murphtr02,Trey Murphy III,4,"June 18, 2000",SF,6-8,206,"Rice University , Virginia"
NOP,2025-26,murrade01,Dejounte Murray,8,"September 19, 1996",PG,6-4,180,Washington
NOP,2025-26,odurojo01,Josh Oduro,0,"October 14, 2000",PF,6-9,240,"George Mason , Providence"
NOP,2025-26,peavymi01,Micah Peavy,0,"July 16, 2001",SG,6-7,215,"Texas Tech , TCU , Georgetown"
NOP,2025-26,poolejo01,Jordan Poole,6,"June 19, 1999",PG,6-4,194,Michigan
NOP,2025-26,queende01,Derik Queen,0,"December 27, 2004",C,6-9,250,Maryland
NOP,2025-26,willizi01,Zion Williamson,5,"July 6, 2000",PF,6-6,284,Duke
NYK,2025-26,alvarjo01,Jose Alvarado,4,"April 12, 1998",PG,6-0,179,Georgia Tech
NYK,2025-26,anunoog01,OG Anunoby,8,"July 17, 1997",PF,6-7,240,Indiana
NYK,2025-26,bridgmi01,Mikal Bridges,7,"August 30, 1996",SF,6-6,209,Villanova
NYK,2025-26,brunsja01,Jalen Brunson,7,"August 31, 1996",PG,6-2,190,Villanova
NYK,2025-26,clarkjo01,Jordan Clarkson,11,"June 7, 1992",SG,6-5,194,"Tulsa , Missouri"
NYK,2025-26,dadiepa01,Pacôme Dadiet,1,"July 27, 2005",SG,6-9,210,
NYK,2025-26,diawamo01,Mohamed Diawara,0,"April 29, 2005",SF,6-9,225,
NYK,2025-26,evbuoto01,Tosan Evbuomwan,2,"February 16, 2001",SF,6-8,217,Princeton
NYK,2025-26,hartjo01,Josh Hart,8,"March 6, 1995",SF,6-5,215,Villanova
NYK,2025-26,hukpoar01,Ariel Hukporti,1,"April 12, 2002",C,7-0,246,
NYK,2025-26,jemistr01,Trey Jemison,2,"November 28, 1999",C,6-10,270,"Clemson , UAB"
NYK,2025-26,jonesdi01,Dillon Jones,1,"October 29, 2001",SF,6-5,235,Weber State
NYK,2025-26,kolekty01,Tyler Kolek,1,"March 27, 2001",PG,6-2,195,"George Mason , Marquette"
NYK,2025-26,mcbrimi01,Miles McBride,4,"September 8, 2000",SG,6-2,195,West Virginia
NYK,2025-26,mcculke01,Kevin McCullar Jr.,1,"March 15, 2001",SF,6-6,210,"Texas Tech , Kansas"
NYK,2025-26,robinmi01,Mitchell Robinson,7,"April 1, 1998",C,7-0,240,Western Kentucky
NYK,2025-26,shamela01,Landry Shamet,7,"March 13, 1997",SG,6-5,190,Wichita State
NYK,2025-26,sochaje01,Jeremy Sochan,3,"May 20, 2003",PF,6-8,230,Baylor
NYK,2025-26,townska01,Karl-Anthony Towns,10,"November 15, 1995",C,7-0,248,Kentucky
NYK,2025-26,yabusgu01,Guerschon Yabusele,3,"December 17, 1995",C,6-7,265,
OKC,2025-26,barnhbr01,Brooks Barnhizer,0,"March 2, 2002",SG,6-5,230,Northwestern
OKC,2025-26,boehebu01,Buddy Boeheim,2,"November 11, 1999",SF,6-5,205,Syracuse
OKC,2025-26,carlsbr01,Branden Carlson,1,"June 14, 1999",C,7-0,220,Utah
OKC,2025-26,carusal01,Alex Caruso,8,"February 28, 1994",SG,6-5,186,Texas A&M
OKC,2025-26,diengou01,Ousmane Dieng,3,"May 21, 2003",C,6-9,185,
OKC,2025-26,dortlu01,Luguentz Dort,6,"April 19, 1999",SF,6-4,220,Arizona State
OKC,2025-26,gilgesh01,Shai Gilgeous-Alexander,7,"July 12, 1998",PG,6-6,195,Kentucky
OKC,2025-26,harteis01,Isaiah Hartenstein,7,"May 5, 1998",C,7-0,250,
OKC,2025-26,holmgch01,Chet Holmgren,2,"May 1, 2002",PF,7-1,208,Gonzaga
OKC,2025-26,joeis01,Isaiah Joe,5,"July 2, 1999",SG,6-4,165,Arkansas
OKC,2025-26,mccaija01,Jared McCain,1,"February 20, 2004",SG,6-3,195,Duke
OKC,2025-26,mitchaj01,Ajay Mitchell,1,"June 25, 2002",SG,6-4,190,UC Santa Barbara
OKC,2025-26,sandfpa01,Payton Sandfort,0,"December 4, 2002",SF,6-7,215,Iowa
OKC,2025-26,topicni01,Nikola Topić,0,"August 10, 2005",PG,6-6,200,
OKC,2025-26,wallaca01,Cason Wallace,2,"November 7, 2003",SG,6-3,195,Kentucky
OKC,2025-26,wiggiaa01,Aaron Wiggins,4,"January 2, 1999",SG,6-5,190,Maryland
OKC,2025-26,willija06,Jalen Williams,3,"April 14, 2001",SG,6-5,211,Santa Clara
OKC,2025-26,willija07,Jaylin Williams,3,"June 29, 2002",PF,6-9,240,Arkansas
OKC,2025-26,willike04,Kenrich Williams,7,"December 2, 1994",PF,6-7,210,TCU
OKC,2025-26,youngch01,Chris Youngblood,0,"February 9, 2002",SG,6-4,221,"Kennesaw State University , South Florida , Alabama"
ORL,2025-26,banchpa01,Paolo Banchero,3,"November 12, 2002",PF,6-10,250,Duke
ORL,2025-26,banede01,Desmond Bane,5,"June 25, 1998",SG,6-6,215,TCU
ORL,2025-26,bitadgo01,Goga Bitadze,6,"July 20, 1999",C,6-11,250,
ORL,2025-26,blackan01,Anthony Black,2,"January 20, 2004",PG,6-7,200,Arkansas
ORL,2025-26,cainja01,Jamal Cain,3,"March 20, 1999",SF,6-7,191,"Marquette , Oakland"
ORL,2025-26,carteje01,Jevon Carter,7,"September 14, 1995",PG,6-0,200,West Virginia
ORL,2025-26,cartewe01,Wendell Carter Jr.,7,"April 16, 1999",C,6-10,270,Duke
ORL,2025-26,castlco01,Colin Castleton,2,"May 25, 2000",C,6-10,250,"Michigan , Florida"
ORL,2025-26,dasiltr01,Tristan Da Silva,1,"May 15, 2001",SF,6-8,217,Colorado
ORL,2025-26,howarje01,Jett Howard,2,"September 14, 2003",SF,6-8,215,Michigan
ORL,2025-26,isaacjo01,Jonathan Isaac,6,"October 3, 1997",PF,6-10,230,Florida State
ORL,2025-26,jonesty01,Tyus Jones,10,"May 10, 1996",PG,6-0,196,Duke
ORL,2025-26,moralal01,Alex Morales,0,"November 21, 1997",PG,6-6,180,"Prince George Community College , Wagner College"
ORL,2025-26,pendano01,Noah Penda,0,"January 7, 2005",SF,6-7,215,
ORL,2025-26,richaja02,Jase Richardson,0,"October 16, 2005",SG,6-1,180,Michigan State
ORL,2025-26,robinor01,Orlando Robinson,3,"July 10, 2000",C,6-10,235,Fresno State
ORL,2025-26,suggsja01,Jalen Suggs,4,"June 3, 2001",PG,6-5,205,Gonzaga
ORL,2025-26,wagnefr01,Franz Wagner,4,"August 27, 2001",SF,6-10,220,Michigan
ORL,2025-26,wagnemo01,Moritz Wagner,7,"April 26, 1997",C,6-11,245,Michigan
PHI,2025-26,baldwpa01,Patrick Baldwin Jr.,3,"November 18, 2002",SF,7-0,220,UW-Milwaukee
PHI,2025-26,barlodo01,Dominick Barlow,3,"May 26, 2003",PF,6-9,215,
PHI,2025-26,bassech01,Charles Bassey,4,"October 28, 2000",C,6-10,230,Western Kentucky
PHI,2025-26,beaucma01,MarJon Beauchamp,3,"October 12, 2000",SF,6-7,199,Yakima Valley Community College
PHI,2025-26,bonaad01,Adem Bona,1,"March 28, 2003",C,6-10,235,UCLA
PHI,2025-26,broomjo01,Johni Broome,0,"July 19, 2002",C,6-10,235,"Morehead State University , Auburn"
PHI,2025-26,drumman01,Andre Drummond,13,"August 10, 1993",C,6-11,279,UConn
PHI,2025-26,edgecvj01,VJ Edgecombe,0,"July 30, 2005",SG,6-4,180,Baylor
PHI,2025-26,edwarju01,Justin Edwards,1,"December 16, 2003",SF,6-7,203,Kentucky
PHI,2025-26,embiijo01,Joel Embiid,9,"March 16, 1994",C,7-0,280,Kansas
PHI,2025-26,georgpa01,Paul George,15,"May 2, 1990",PF,6-8,220,Fresno State
PHI,2025-26,gordoer01,Eric Gordon,17,"December 25, 1988",SG,6-3,215,Indiana
PHI,2025-26,grimequ01,Quentin Grimes,4,"May 8, 2000",SG,6-4,210,"Kansas , Houston"
PHI,2025-26,lowryky01,Kyle Lowry,19,"March 25, 1986",PG,6-0,196,Villanova
PHI,2025-26,martity01,Tyrese Martin,2,"March 7, 1999",SG,6-6,215,"Rhode Island , UConn"
PHI,2025-26,maxeyty01,Tyrese Maxey,5,"November 4, 2000",PG,6-2,200,Kentucky
PHI,2025-26,mccaija01,Jared McCain,1,"February 20, 2004",SG,6-3,195,Duke
PHI,2025-26,oubreke01,Kelly Oubre Jr.,10,"December 9, 1995",SF,6-8,203,Kansas
PHI,2025-26,payneca01,Cameron Payne,10,"August 8, 1994",PG,6-2,183,Murray State
PHI,2025-26,sallihu01,Hunter Sallis,0,"March 26, 2003",SG,6-4,185,"Gonzaga , Wake Forest"
PHI,2025-26,terryda01,Dalen Terry,3,"July 12, 2002",SG,6-6,195,Arizona
PHI,2025-26,walkeja01,Jabari Walker,3,"July 30, 2002",PF,6-7,237,Colorado
PHI,2025-26,watfotr01,Trendon Watford,4,"November 9, 2000",PF,6-8,237,LSU
PHO,2025-26,allengr01,Grayson Allen,7,"October 8, 1995",SG,6-3,198,Duke
PHO,2025-26,bookede01,Devin Booker,10,"October 30, 1996",SG,6-5,206,Kentucky
PHO,2025-26,bouyeja01,Jamaree Bouyea,3,"June 27, 1999",PG,6-2,180,San Francisco
PHO,2025-26,breako01,Koby Brea,0,"November 6, 2002",SG,6-5,215,"Dayton , Kentucky"
PHO,2025-26,brookdi01,Dillon Brooks,8,"January 22, 1996",SF,6-7,225,Oregon
PHO,2025-26,coffeam01,Amir Coffey,6,"June 17, 1997",SG,6-7,210,Minnesota
PHO,2025-26,dunnry01,Ryan Dunn,1,"January 7, 2003",SF,6-7,216,Virginia
PHO,2025-26,flemira01,Rasheer Fleming,0,"July 10, 2004",PF,6-9,240,Saint Joseph's
PHO,2025-26,gilleco01,Collin Gillespie,2,"June 25, 1999",PG,6-1,195,Villanova
PHO,2025-26,goodwjo01,Jordan Goodwin,4,"October 23, 1998",PG,6-3,215,Saint Louis
PHO,2025-26,greenja05,Jalen Green,4,"February 9, 2002",SG,6-4,186,
PHO,2025-26,hayesni01,Nigel Hayes-Davis,1,"December 16, 1994",SF,6-7,254,Wisconsin
PHO,2025-26,highsha01,Haywood Highsmith,5,"December 9, 1996",SF,6-5,220,Wheeling University
PHO,2025-26,huntlcj01,CJ Huntley,0,"January 6, 2002",SF,6-9,190,Appalachian State University
PHO,2025-26,ighodos01,Oso Ighodaro,1,"July 14, 2002",PF,6-11,235,Marquette
PHO,2025-26,liveris01,Isaiah Livers,3,"July 28, 1998",PF,6-6,232,Michigan
PHO,2025-26,maluakh01,Khaman Maluach,0,"September 14, 2006",C,7-1,250,Duke
PHO,2025-26,onealro01,Royce O'Neale,8,"June 5, 1993",SF,6-6,226,"Denver , Baylor"
PHO,2025-26,richani01,Nick Richards,5,"November 29, 1997",C,6-11,245,Kentucky
PHO,2025-26,willima07,Mark Williams,3,"December 16, 2001",C,7-1,240,Duke
POR,2025-26,avdijde01,Deni Avdija,5,"January 3, 2001",SF,6-8,228,
POR,2025-26,camarto01,Toumani Camara,2,"May 8, 2000",PF,6-7,230,"Georgia , Dayton"
POR,2025-26,cissosi01,Sidy Cissoko,2,"April 2, 2004",SF,6-6,220,
POR,2025-26,clingdo01,Donovan Clingan,1,"February 23, 2004",C,7-2,280,UConn
POR,2025-26,cookeja01,Javonte Cooke,0,"July 11, 1999",SG,6-6,185,"University of South Carolina Aiken , Mars Hill University , Winston-Salem State"
POR,2025-26,grantje01,Jerami Grant,11,"March 12, 1994",PF,6-7,213,Syracuse
POR,2025-26,yangha01,Yang Hansen,0,"June 26, 2005",C,7-1,270,
POR,2025-26,hendesc01,Scoot Henderson,2,"February 3, 2004",PG,6-3,207,
POR,2025-26,holidjr01,Jrue Holiday,16,"June 12, 1990",PG,6-4,220,UCLA
POR,2025-26,kentja01,Jayson Kent,0,"February 3, 2002",SF,6-8,215,"Bradley , Indiana State University , Texas"
POR,2025-26,krejcvi01,Vít Krejčí,4,"June 19, 2000",PG,6-8,195,
POR,2025-26,loveca01,Caleb Love,0,"September 27, 2001",SG,6-3,212,"UNC , Arizona"
POR,2025-26,murrakr01,Kris Murray,2,"August 19, 2000",SF,6-8,218,Iowa
POR,2025-26,reathdu01,Duop Reath,2,"June 26, 1996",C,6-9,245,"Lee College , LSU"
POR,2025-26,ruperra01,Rayan Rupert,2,"May 31, 2004",SG,6-7,205,
POR,2025-26,sharpsh01,Shaedon Sharpe,3,"May 30, 2003",SG,6-5,210,Kentucky
POR,2025-26,thybuma01,Matisse Thybulle,6,"March 4, 1997",SG,6-5,202,Washington
POR,2025-26,weslebl01,Blake Wesley,3,"March 16, 2003",SG,6-4,190,Notre Dame
POR,2025-26,williro04,Robert Williams,7,"October 17, 1997",C,6-9,249,Texas A&M
POR,2025-26,youngch01,Chris Youngblood,0,"February 9, 2002",SG,6-4,221,"Kennesaw State University , South Florida , Alabama"
SAC,2025-26,achiupr01,Precious Achiuwa,5,"September 19, 1999",C,6-8,243,Memphis
SAC,2025-26,baldwpa01,Patrick Baldwin Jr.,3,"November 18, 2002",SF,7-0,220,UW-Milwaukee
SAC,2025-26,cardwdy01,Dylan Cardwell,0,"December 16, 2001",C,6-10,255,Auburn
SAC,2025-26,cartede02,Devin Carter,1,"March 18, 2002",PG,6-2,195,"South Carolina , Providence"
SAC,2025-26,cliffni01,Nique Clifford,0,"February 9, 2002",SG,6-5,175,"Colorado , Colorado State"
SAC,2025-26,derozde01,DeMar DeRozan,16,"August 7, 1989",PF,6-6,220,USC
SAC,2025-26,elliske01,Keon Ellis,3,"January 8, 2000",SG,6-4,175,"Florida SouthWestern State College , Alabama"
SAC,2025-26,eubandr01,Drew Eubanks,7,"February 1, 1997",C,6-10,245,Oregon State
SAC,2025-26,hayeski01,Killian Hayes,5,"July 27, 2001",PG,6-4,195,
SAC,2025-26,huntede01,De'Andre Hunter,6,"December 2, 1997",SF,6-7,221,Virginia
SAC,2025-26,jeffrda01,DaQuan Jeffries,6,"August 30, 1997",SG,6-5,222,"Oral Roberts , Tulsa"
SAC,2025-26,jonesis01,Isaac Jones,1,"July 11, 2000",PF,6-8,245,"Wenatchee Valley College , Idaho , Washington State"
SAC,2025-26,lavinza01,Zach LaVine,11,"March 10, 1995",SG,6-5,200,UCLA
SAC,2025-26,mcderdo01,Doug McDermott,11,"January 3, 1992",SF,6-7,225,Creighton
SAC,2025-26,monkma01,Malik Monk,8,"February 4, 1998",SG,6-3,200,Kentucky
SAC,2025-26,murrake02,Keegan Murray,3,"August 19, 2000",PF,6-8,225,Iowa
SAC,2025-26,plowdda01,Daeqwon Plowden,1,"August 29, 1998",SG,6-4,216,Bowling Green
SAC,2025-26,raynama01,Maxime Raynaud,0,"April 7, 2003",C,7-1,250,Stanford
SAC,2025-26,sabondo01,Domantas Sabonis,9,"May 3, 1996",C,6-10,240,Gonzaga
SAC,2025-26,saricda01,Dario Šarić,8,"April 8, 1994",C,6-10,225,
SAC,2025-26,schrode01,Dennis Schröder,12,"September 15, 1993",PG,6-1,175,
SAC,2025-26,steveis01,Isaiah Stevens,1,"November 1, 2000",PG,5-11,185,Colorado State
SAC,2025-26,westbru01,Russell Westbrook,17,"November 12, 1988",SF,6-4,200,UCLA
SAS,2025-26,barneha02,Harrison Barnes,13,"May 30, 1992",PF,6-7,225,UNC
SAS,2025-26,biyombi01,Bismack Biyombo,14,"August 28, 1992",C,6-8,255,
SAS,2025-26,bryanca01,Carter Bryant,0,"November 26, 2005",PF,6-6,220,Arizona
SAS,2025-26,castlst01,Stephon Castle,1,"November 1, 2004",PG,6-6,215,UConn
SAS,2025-26,champju02,Julian Champagnie,3,"June 29, 2001",SF,6-7,217,St. John's
SAS,2025-26,foxde01,De'Aaron Fox,8,"December 20, 1997",PG,6-3,185,Kentucky
SAS,2025-26,harpedy01,Dylan Harper,0,"March 2, 2006",SG,6-5,215,Rutgers University
SAS,2025-26,ingraha01,Harrison Ingram,1,"November 27, 2002",SF,6-5,230,"Stanford , UNC"
SAS,2025-26,johnske04,Keldon Johnson,6,"October 11, 1999",SF,6-6,220,Kentucky
SAS,2025-26,jonesda06,David Jones García,0,"November 24, 2001",SF,6-4,210,"DePaul , St. John's , Memphis"
SAS,2025-26,kornelu01,Luke Kornet,8,"July 15, 1995",C,7-1,250,Vanderbilt
SAS,2025-26,mclaujo01,Jordan McLaughlin,6,"April 9, 1996",PG,5-11,185,USC
SAS,2025-26,minixri01,Riley Minix,1,"September 22, 2000",SF,6-7,230,"Southeastern University , Morehead State University"
SAS,2025-26,olynyke01,Kelly Olynyk,12,"April 19, 1991",C,7-0,240,Gonzaga
SAS,2025-26,plumlma01,Mason Plumlee,12,"March 5, 1990",C,7-0,254,Duke
SAS,2025-26,sochaje01,Jeremy Sochan,3,"May 20, 2003",PF,6-8,230,Baylor
SAS,2025-26,umudest01,Stanley Umude,3,"April 12, 1999",SG,6-6,210,"South Dakota , Arkansas"
SAS,2025-26,vassede01,Devin Vassell,5,"August 23, 2000",SG,6-5,200,Florida State
SAS,2025-26,waterli01,Lindy Waters III,4,"July 28, 1997",SG,6-5,210,Oklahoma State
SAS,2025-26,wembavi01,Victor Wembanyama,2,"January 4, 2004",C,7-4,235,
TOR,2025-26,agbajoc01,Ochai Agbaji,3,"April 20, 2000",SG,6-5,215,Kansas
TOR,2025-26,bambamo01,Mo Bamba,7,"May 12, 1998",C,7-0,231,Texas
TOR,2025-26,barnesc01,Scottie Barnes,4,"August 1, 2001",PF,6-8,237,Florida State
TOR,2025-26,barrerj01,RJ Barrett,6,"June 14, 2000",SF,6-6,214,Duke
TOR,2025-26,battlja01,Jamison Battle,1,"May 10, 2001",SF,6-7,220,"George Washington , Minnesota , Ohio State"
TOR,2025-26,dickgr01,Gradey Dick,2,"November 20, 2003",SG,6-7,200,Kansas
TOR,2025-26,fultzma01,Markelle Fultz,8,"May 29, 1998",PG,6-4,209,Washington
TOR,2025-26,hepbuch01,Chucky Hepburn,0,"February 9, 2003",PG,6-0,190,"Wisconsin , Louisville"
TOR,2025-26,ingrabr01,Brandon Ingram,9,"September 2, 1997",SF,6-8,190,Duke
TOR,2025-26,jackstr02,Trayce Jackson-Davis,2,"February 22, 2000",C,6-9,245,Indiana
TOR,2025-26,lawsoaj01,A.J. Lawson,3,"July 15, 2000",SG,6-6,179,South Carolina
TOR,2025-26,mamuksa01,Sandro Mamukelashvili,4,"May 23, 1999",C,6-9,240,Seton Hall
TOR,2025-26,martial01,Alijah Martin,0,"December 26, 2001",SG,6-2,210,"Florida Atlantic University , Florida"
TOR,2025-26,mogbojo01,Jonathan Mogbo,1,"October 29, 2001",PF,6-9,225,"Missouri State , San Francisco"
TOR,2025-26,murraco01,Collin Murray-Boyles,0,"June 10, 2005",PF,6-7,245,South Carolina
TOR,2025-26,poeltja01,Jakob Poeltl,9,"October 15, 1995",C,7-0,253,Utah
TOR,2025-26,quickim01,Immanuel Quickley,5,"June 17, 1999",PG,6-2,190,Kentucky
TOR,2025-26,sheadja01,Jamal Shead,1,"June 24, 2002",PG,6-1,200,Houston
TOR,2025-26,templga01,Garrett Temple,15,"May 8, 1986",SG,6-5,195,LSU
TOR,2025-26,walteja01,Ja'Kobe Walter,1,"September 4, 2004",SG,6-4,180,Baylor
UTA,2025-26,anderky01,Kyle Anderson,11,"September 20, 1993",SF,6-8,230,UCLA
UTA,2025-26,baileac01,Ace Bailey,0,"August 13, 2006",SF,6-9,200,Rutgers University
UTA,2025-26,bambamo01,Mo Bamba,7,"May 12, 1998",C,7-0,231,Texas
UTA,2025-26,chandke01,Kennedy Chandler,1,"September 16, 2002",PG,6-0,170,Tennessee
UTA,2025-26,claytwa01,Walter Clayton,0,"March 6, 2003",PG,6-4,195,"Iona College , Florida"
UTA,2025-26,colliis01,Isaiah Collier,1,"October 8, 2004",PG,6-4,210,USC
UTA,2025-26,filipky01,Kyle Filipowski,1,"November 7, 2003",C,6-11,250,Duke
UTA,2025-26,garcian01,Andersson Garcia,0,"August 23, 2000",SF,6-7,220,"Mississippi State , Texas A&M"
UTA,2025-26,georgke01,Keyonte George,2,"November 8, 2003",PG,6-4,185,Baylor
UTA,2025-26,grayha01,Hayden Gray,0,"May 11, 2003",SG,6-4,190,UC San Diego
UTA,2025-26,harklej01,Elijah Harkless,1,"February 3, 2000",SG,6-3,195,"Cal State Northridge , Oklahoma , UNLV"
UTA,2025-26,hendrta01,Taylor Hendricks,2,"November 22, 2003",PF,6-9,215,Central Florida
UTA,2025-26,hinsobl01,Blake Hinson,0,"December 26, 1999",SF,6-8,240,"Ole Miss , Iowa State , Pitt"
UTA,2025-26,jacksja02,Jaren Jackson Jr.,7,"September 15, 1999",C,6-10,242,Michigan State
UTA,2025-26,kesslwa01,Walker Kessler,3,"July 26, 2001",C,7-2,245,"UNC , Auburn"
UTA,2025-26,konchjo01,John Konchar,6,"March 22, 1996",SG,6-5,210,Purdue-Fort Wayne
UTA,2025-26,loveke01,Kevin Love,17,"September 7, 1988",PF,6-10,251,UCLA
UTA,2025-26,markkla01,Lauri Markkanen,8,"May 22, 1997",PF,7-1,240,Arizona
UTA,2025-26,mbengbe01,Bez Mbeng,0,"May 2, 2003",SG,6-4,185,Yale
UTA,2025-26,mykhasv01,Svi Mykhailiuk,7,"June 10, 1997",SF,6-7,205,Kansas
UTA,2025-26,nurkiju01,Jusuf Nurkić,11,"August 23, 1994",C,6-11,290,
UTA,2025-26,sensabr01,Brice Sensabaugh,2,"October 30, 2003",SF,6-6,235,Ohio State
UTA,2025-26,tshieos01,Oscar Tshiebwe,2,"November 27, 1999",C,6-8,255,"West Virginia , Kentucky"
UTA,2025-26,willico04,Cody Williams,1,"November 20, 2004",SG,6-8,190,Colorado
UTA,2025-26,willivi01,Vince Williams Jr.,3,"August 30, 2000",SG,6-4,205,VCU
WAS,2025-26,baglema01,Marvin Bagley III,7,"March 14, 1999",PF,6-10,235,Duke
WAS,2025-26,blackle01,Leaky Black,1,"June 14, 1999",SF,6-6,209,UNC
WAS,2025-26,branhma01,Malaki Branham,3,"May 12, 2003",SG,6-4,180,Ohio State
WAS,2025-26,carrica01,Bub Carrington,1,"July 21, 2005",PG,6-4,190,Pitt
WAS,2025-26,champju01,Justin Champagnie,4,"June 29, 2001",SF,6-6,206,Pitt
WAS,2025-26,coopesh01,Sharife Cooper,1,"June 11, 2001",PG,6-0,176,Auburn
WAS,2025-26,coulibi01,Bilal Coulibaly,2,"July 26, 2004",SG,6-7,195,
WAS,2025-26,georgky01,Kyshawn George,1,"December 12, 2003",SF,6-8,200,Miami (FL)
WAS,2025-26,gilbeke01,Keshon Gilbert,0,"June 30, 2003",PG,6-4,200,"UNLV , Iowa State"
WAS,2025-26,gillan01,Anthony Gill,5,"October 17, 1992",PF,6-7,230,"South Carolina , Virginia"
WAS,2025-26,hardyja02,Jaden Hardy,3,"July 5, 2002",SG,6-3,198,
WAS,2025-26,johnsaj01,AJ Johnson,1,"December 1, 2004",SG,6-5,160,
WAS,2025-26,johnstr03,Tre Johnson,0,"March 7, 2006",SG,6-5,190,Texas
WAS,2025-26,kispeco01,Corey Kispert,4,"March 3, 1999",SF,6-6,224,Gonzaga
WAS,2025-26,labissk01,Skal Labissière,5,"March 18, 1996",PF,6-10,235,Kentucky
WAS,2025-26,mccolcj01,CJ McCollum,12,"September 19, 1991",SG,6-3,190,Lehigh
WAS,2025-26,middlkh01,Khris Middleton,13,"August 12, 1991",SF,6-7,222,Texas A&M
WAS,2025-26,reeseju01,Julian Reese,0,"June 30, 2003",PF,6-9,230,Maryland
WAS,2025-26,richmka01,Kadary Richmond,0,"August 25, 2001",SG,6-5,205,"Syracuse , Seton Hall , St. John's"
WAS,2025-26,rileywi01,Will Riley,0,"February 10, 2006",SF,6-9,180,Illinois
WAS,2025-26,sarral01,Alex Sarr,1,"April 26, 2005",C,7-0,205,
WAS,2025-26,vukcetr01,Tristan Vukcevic,2,"March 11, 2003",C,7-0,220,
WAS,2025-26,watkija01,Jamir Watkins,0,"July 6, 2001",SG,6-6,210,"VCU , Florida State"
WAS,2025-26,whitmca01,Cam Whitmore,2,"July 8, 2004",SF,6-6,230,Villanova
WAS,2025-26,willial06,Alondes Williams,3,"June 19, 1999",SG,6-4,210,"Triton College , Oklahoma , Wake Forest"
WAS,2025-26,youngtr01,Trae Young,7,"September 19, 1998",PG,6-2,164,Oklahoma
