id,capHit,description,player,playerId,qualifyingOfferAmount,rightType,_source_team_ids
5dea52df-2bb9-46de-bbf3-d1491b583321,2449421,Justin Holiday,203200,203200,0,Non-Bird,8
63b3dc47-45ca-43c8-bf3c-8070a12a4bb9,2449421,Richard Jefferson,2210,2210,0,Non-Bird,8
166537f2-0ca8-4729-bc5b-9db27a0126e0,2449421,Russell Westbrook,201566,201566,0,Draft Pick,8
3f3d2cac-7d40-49f5-bb92-d48099890c88,2185116,David Roddy,1631223,1631223,2185116,Two-Way,8
1909a7b4-9ea6-4fc2-bef7-bcc1e3b8195a,2185116,Markus Howard,1630210,1630210,0,Two-Way,8
3f47cfe1-9df5-4ab1-b021-308772b65a00,2185116,Curtis Jones,1642938,1642938,0,Non-Bird,8
af2d063d-a178-4bd3-aba1-1ba56f70dd6b,0,"Round 2, Pick #49",,,0,,8
acbd5d44-d301-4e63-a8cc-774d59dfaa26,26986607,Kevin Huerter,1628989,1628989,0,Bird,9
c5079cdc-7bf2-4e05-a70d-24668a59292c,19449432,Jalen Duren,1631105,1631105,9615393,Restricted Bird,9
74eba5e6-8a99-46eb-8e3d-0cb785d65fc6,7200000,Malik Beasley,1627736,1627736,0,Non-Bird,9
c40e0f70-1c36-400c-8653-54bdb613b6c5,3746760,"Round 1, Pick #21",,,0,,9
c7d5d75e-41f8-4f51-9351-f534f4117e5f,2185116,Wendell Moore Jr.,1631111,1631111,2185116,Draft Pick,9
100ac162-4906-454a-b858-53916c8570fe,38839286,Draymond Green,203110,203110,0,Bird,10
9829682f-5313-4484-bb50-c3aa2d326b5d,2715526,Incomplete Roster Charge,,,0,,10
f167a056-85b2-41a5-a4e2-a76c86b90263,2457009,Kevin Knox,1628995,1628995,0,Non-Bird,10
21870968-1aff-442f-9fe2-2bd2454a45c7,2449421,Andrew Bogut,101106,101106,0,Non-Bird,10
9495dab4-3111-467a-8bc1-3fa487463875,2449421,Seth Curry,203552,203552,0,Draft Pick,10
fc3ee9bf-0586-4e71-9e1f-5ce9c659340c,2449421,Usman Garuba,1630586,1630586,0,Non-Bird,10
805eed2b-1538-4a0d-895f-0a96250e726e,2449421,JaMychal Green,203210,203210,0,Non-Bird,10
6b84fcc7-e1cd-4c47-a702-bbff7b3d012c,2449421,Andre Iguodala,2738,2738,0,Early Bird,10
dbf9a678-696f-4527-8d72-e48da63d587f,2449421,Jonas Jerebko,201973,201973,0,Non-Bird,10
fb7a3122-ea86-4ce0-a1b9-5d3e48622a59,2449421,Gary Payton II,1627780,1627780,0,Bird,10
7bedb8b9-ecf5-495a-a3b5-a4e2da8c5a4b,2449421,Pat Spencer,1630311,1630311,0,Early Bird,10
729404ef-abfb-461c-9366-834e502b3e95,2449421,David West,2561,2561,0,Early Bird,10
c2e9e038-9fba-450e-9279-7ce014c043b5,2449421,Jeenathan Williams,1631466,1631466,0,Non-Bird,10
ba79b347-c1d5-44a9-8f8e-18141b0c51bd,2449421,Anthony Lamb,1630237,1630237,0,Non-Bird,10
dbf2c408-cbd6-411f-9e12-9a9214b52d34,2449421,Matt Barnes,2440,2440,0,Non-Bird,10
b1ff47c0-12c6-4837-a41b-18f57900f1c3,2449421,Nemanja Bjelica,202357,202357,0,Non-Bird,10
6e5e6361-ea1b-444f-8a1c-14475a328a11,2185116,Taran Armstrong,1642379,1642379,0,Two-Way,10
00017a40-75eb-403b-942c-eeec82b2e01c,2185116,Jerome Robinson,1629010,1629010,0,Two-Way,10
533e2743-b23b-400a-b44c-6272d9f7d234,2185116,Nico Mannion,1630185,1630185,2185116,Two-Way,10
b48b636e-9405-4ae5-a1ec-70cf27e19119,0,"Round 2, Pick #54",,,0,,10
d0b40b84-58bf-4c93-aa0a-ffd94a033fc2,2449421,Reggie Bullock,203493,203493,0,Non-Bird,11
cabc7579-eb52-4781-88e9-92a422867537,2449421,Jeff Green,201145,201145,0,Bird,11
74ad2675-00fd-4f7a-bd71-7c6c3dcd01f9,2449421,Aaron Holiday,1628988,1628988,0,Bird,11
5b977c5f-0ef8-4759-b1ac-cf72a7762085,2449421,Boban Marjanovic,1626246,1626246,0,Bird,11
04c0b7c7-4fdb-4186-b406-3eb8299597ee,2449421,Jae’Sean Tate,1630256,1630256,0,Bird,11
3617216d-f799-48d1-8ce5-c6a22e788b0f,2185116,Isaiah Crawford,1642384,1642384,2185116,Two-Way,11
0ba7d89c-a6e3-4995-9104-524779da7c8c,2185116,Jack McVeigh,1629098,1629098,0,Two-Way,11
08b1e3c1-3fba-4580-947e-192be8d76a37,0,"Round 2, Pick #39",,,0,,11
75b8fe7d-4144-4693-b81b-60452ef6b6ec,2449421,James Johnson,201949,201949,0,Bird,12
dc43627d-6d84-4321-88c9-85b7c6257bfc,2185116,Jalen Slawson,1641771,1641771,2185116,Draft Pick,12
a0625583-83f1-4e7a-8662-8b925419f684,2185116,Gabe York,1628221,1628221,0,Two-Way,12
54976f24-d774-4a9b-a96c-6bbb021a6180,27562719,Bennedict Mathurin,1631097,1631097,8774590,Restricted Bird,13
4c991da3-0dbc-4889-88c7-e9c85a8fc5a6,7646184,Nicolas Batum,201587,201587,0,Early Bird,13
bbe60791-71c2-4dce-92d4-6dccef1fb83a,6424800,Bradley Beal,203078,203078,0,Non-Bird,13
dd29341e-a359-43d9-b6ea-3d13d6f4cb8b,2449421,Rodney Hood,203918,203918,0,Non-Bird,13
836d9a55-653e-46f6-b884-7691433004b8,2449421,Patty Mills,201988,201988,0,Non-Bird,13
0b86d986-bc56-4bd2-b24b-d0f856dea265,2449421,Ben Simmons,1627732,1627732,0,Non-Bird,13
47270d59-3487-445f-8ee3-72139b4a9a22,2185116,Sean Pedulla,,,2185116,Two-Way,13
a0994b60-3293-4329-ab7f-d9c39ebbe673,2185116,TyTy Washington Jr.,1631102,1631102,2185116,Two-Way,13
b868e41f-8094-4cfc-bf88-9a6f31081d11,2185116,Xavier Moon,1629875,1629875,0,Two-Way,13
7debef96-ad93-4d56-8b73-99c6f6d6b65d,2185116,Norchad Omier,,,0,Non-Bird,13
981810ea-0e8f-435a-98f3-51e8b9b28679,3747720,Karim Lopez,,,0,1st Round Pick,15
4a68f6a9-3675-4035-8f92-45b57e7dcf8b,0,"Round 2, Pick #32",,,0,,15
5b0ce6ed-1b8b-45f7-bad3-3a41e4a53ff5,2457009,Alec Burks,202692,202692,0,Non-Bird,16
ca7ebb35-6f0a-45ff-8c2f-b266c3257b9e,2449421,Keshad Johnson,1642352,1642352,0,Early Bird,16
c288ddb7-1493-4721-9cf1-2a36b748df7e,2449421,Josh Christopher,1630528,1630528,0,Two-Way,16
2a4747ba-95e0-4275-88cb-b3404334b623,2449421,Udonis Haslem,2617,2617,0,Bird,16
bf1ccab0-166e-4a56-9ff2-b696ce5506eb,2449421,Jordan Mickey,1626175,1626175,0,Non-Bird,16
20740547-bc1e-4f38-87a8-b4ed58500de8,2449421,Dwyane Wade,2548,2548,0,Early Bird,16
7f50ec54-672f-4776-890d-87090cb7bf57,2449421,Trevor Keels,1631211,1631211,0,Non-Bird,16
37f015f7-42af-481e-b4ad-d40eaf379132,2449421,Jahmir Young,1642443,1642443,0,Early Bird,16
8e96a537-1798-493b-a828-c078886a4f9a,11,Vladislav Goldin,1642884,1642884,11,Two-Way,16
4a6b73a5-82db-46eb-8d27-997df946e9f0,20012646,Ousmane Dieng,1631172,1631172,0,Bird,17
480bfff5-fcfe-4ffd-917c-4636b97194be,2449421,Andre Jackson Jr.,1641748,1641748,0,Bird,17
71971904-4af6-41a0-9713-dc17b805c0a8,2449421,Thanasis Antetokounmpo,203648,203648,0,Non-Bird,17
9c1c9318-19f3-49ee-a236-d99a1923770e,2449421,Cameron Thomas,1630560,1630560,0,Non-Bird,17
1d6fc2f1-31f6-4a9b-82e6-0a0ed256f677,2185116,Alex Antetokounmpo,1630828,1630828,0,Non-Bird,17
ba60028a-57e2-4f68-b172-cab909d03189,27909834,Evan Turner,202323,202323,0,Bird,18
7e577831-9563-4fa3-829a-75f038631c0e,14285184,Ayo Dosunmu,1630245,1630245,0,Bird,18
5bdab00a-4e15-4366-8db7-84146acccbd6,2450000,Julian Phillips,1641763,1641763,0,Bird,18
198b9ba9-4bf6-44f1-a06f-2e169f1af058,2449421,Aaron Brooks,201166,201166,0,Non-Bird,18
9f2382d5-11a5-4367-9fa0-a9b8ba8ff093,2449421,Joe Ingles,204060,204060,0,Early Bird,18
33c0507e-3017-4b1a-aec7-a8fae3008df0,2449421,Greg Monroe,202328,202328,0,Non-Bird,18
a6abddd3-a2cf-4499-9fd3-0e0ac1be60a8,2449421,Austin Rivers,203085,203085,0,Non-Bird,18
5ddaed18-6453-499f-9cbe-a9fdf2655c35,2185116,Enrique Freeman,1642402,1642402,2185116,Two-Way,18
83e718dc-060e-4b21-9ba6-89a384a4b776,0,"Round 2, Pick #59",,,0,,18
21cd31e2-7de6-4fff-af93-c4ef31e02a22,4642804,Willy Hernangomez,1626195,1626195,0,Bird,19
61b38797-bf14-4889-ba67-50449b05d8ed,2449421,Brandon Boston Jr,1630527,1630527,0,Early Bird,19
816aabef-ced3-4c1d-964c-8c13b1a40867,2449421,Elfrid Payton,203901,203901,0,Early Bird,19
74d4fc13-d5f7-4db6-b1c2-6ed37ddd7a53,2449421,Tony Snell,203503,203503,0,Non-Bird,19
367ccc41-8bc9-459c-90c5-fca9e98914a0,2185116,Jared Harper,1629607,1629607,0,Two-Way,19
1538d596-49ae-41ed-b1e2-548c81576162,2185116,James Nunnally,203263,203263,0,Two-Way,19
e2b003cf-1d22-4df0-b615-9f0d1a770002,2185116,Josh Oduro,1642490,1642490,0,Non-Bird,19
6c57acab-5b08-4261-b690-2c535bdeebe6,2185116,Keion Brooks Jr.,1631232,1631232,0,Two-Way,19
cb802c3c-c48d-48f9-9c97-3029619971ad,2185116,Gary Clark,1629109,1629109,0,Non-Bird,19
bd322858-995a-46e7-a413-cf4e975ff534,0,"Round 2, Pick #58",,,0,,19
adfa83eb-3d62-4ae9-9d09-7f9c681cea5f,3173040,Petteri Koponen,,,0,1st Round Pick,20
f3071c21-626f-4fc1-87cc-67e0c0d53c86,2449421,Trey Jemison,1641998,1641998,0,Non-Bird,20
68bd660f-c644-47ed-bee2-adae4b9cc888,2449421,Kevin McCullar Jr.,1641755,1641755,0,Early Bird,20
b3406d63-d76d-478a-b064-03e3a8fcae10,2449421,Jeremy Sochan,1631110,1631110,0,Non-Bird,20
976fc01a-18f0-4f66-9173-c2e271985e56,2449421,P.J. Tucker,200782,200782,0,Non-Bird,20
dfd3167c-e0d3-4342-8097-ac0c9096aa6e,2185116,Dillon Jones,1641794,1641794,2185116,Two-Way,20
d42f0a4c-91ad-43b5-85a2-cffbbf992e84,2185116,Alex Ducas,1642505,1642505,0,Two-Way,21
4b8f783d-edbb-4d95-b3c9-05ce2d72b37d,7337939,Jett Howard,1641724,1641724,0,Bird,22
6a9fe4ae-84ef-479e-8fa2-0c9c068ccd82,2449421,Cory Joseph,202709,202709,0,Non-Bird,22
ab73c50f-2250-403c-9a5c-39cf4bedd7da,2185116,Mac McClung,1630644,1630644,0,Two-Way,22
64e50233-8f52-4498-954b-9962defab76e,2185116,Trevelin Queen,1630243,1630243,0,Two-Way,22
745c5c6c-f2ed-4638-a5af-d906ea6fc9f3,2449421,MarJon Beauchamp,1630699,1630699,0,Non-Bird,23
cc2af0de-02d6-4036-b3bd-c88e9467e3ef,2449421,Kyle Lowry,200768,200768,0,Early Bird,23
102ed388-d1eb-46f8-ae7e-1850e470abd3,2449421,Tyrese Martin,1631213,1631213,0,Non-Bird,23
aeb2c052-4ec9-4284-a668-0474e28732e7,2449421,Lonnie Walker IV,1629022,1629022,0,Non-Bird,23
a7fec3e9-4795-444c-a438-77d9e0da384d,2449421,Trendon Watford,1630570,1630570,0,Non-Bird,23
e623402f-6c3e-4579-9c1e-568ea181315b,2185116,Jeff Dowtin,1630288,1630288,0,Two-Way,23
ebb9c137-d580-4d71-a333-82f2819abc7d,2185116,Jalen Hood-Schifino,1641720,1641720,0,Two-Way,23
3433afde-3e9d-4b19-8602-b8b7307779dd,2449421,Bol Bol,1629626,1629626,0,Draft Pick,24
31f7c28f-8b73-471e-9c78-320bea1ff97f,2449421,Amir Coffey,1629599,1629599,0,Non-Bird,24
9ace7e39-6032-4623-b6a0-8562574c2a02,2449421,Damion Lee,1627814,1627814,0,Early Bird,24
8095783a-791b-49de-a269-41ce42af35d3,2449421,Saben Lee,1630240,1630240,0,Two-Way,24
5d85819d-f779-461b-832b-8177ff2a3215,2449421,Isaiah Livers,1630587,1630587,0,Non-Bird,24
545d0e75-ba9d-4a4b-872e-a51a6d630749,2449421,Terrence Ross,203082,203082,0,Non-Bird,24
e3058e98-de8f-45ca-9093-beca8ecf3759,2449421,Isaiah Thomas,202738,202738,0,Non-Bird,24
fc9f1dfa-9631-4d16-b64a-f37cf3d5ee4d,2449421,Thaddeus Young,201152,201152,0,Non-Bird,24
148c7b52-d15f-41ea-88ad-7006b0f3c0fc,2185116,Udoka Azubuike,1628962,1628962,0,Two-Way,24
6e417242-50f5-41f4-8c86-f25922cfb1cd,2185116,Gabriel Lundberg,1630994,1630994,0,Two-Way,24
659820cb-0bd8-4385-9860-6fee8c0d0c77,2185116,Ishmail Wainright,1630688,1630688,0,Two-Way,24
06308c75-7a47-4442-bb43-963a33bc2659,0,"Round 2, Pick #47",,,0,,24
dab18d7b-eb03-4114-ac1b-ad25bf560450,21945000,Matisse Thybulle,1629680,1629680,0,Bird,25
2d5f4200-c1fc-4851-a5e5-1d83c79a84c2,2449421,Rondae Hollis-Jefferson,1626178,1626178,0,Non-Bird,25
62b24bba-0567-406a-9d45-f7f7789aaa7a,2449421,Ben McLemore,203463,203463,0,Non-Bird,25
4f76de0c-f1c5-456d-9404-9284f6cbde89,2449421,Blake Wesley,1631104,1631104,0,Non-Bird,25
047e6b6d-ac3d-402d-a670-cbbed6ae43f5,2185116,Keljin Blevins,1629833,1629833,2185116,Two-Way,25
c62fc2fc-6cab-4bd5-b2ce-c98aa5f5de85,2185116,Ashton Hagans,1630204,1630204,0,Two-Way,25
c6174977-5dbd-454b-ad98-d3cd5b04d323,2185116,TJ Leaf,1628388,1628388,0,Two-Way,25
914963a4-774e-42fd-a94f-1d5ed935f527,2449421,Killian Hayes,1630165,1630165,0,Non-Bird,26
e5279857-df21-48a6-aeeb-58c777ca6275,2449421,Doug McDermott,203926,203926,0,Early Bird,26
67cdf9ec-7999-4074-b316-7b78fc090556,2449421,JaVale McGee,201580,201580,0,Non-Bird,26
548538ac-6fa8-41e7-b6e1-2ea2bca1846e,2449421,Markelle Fultz,1628365,1628365,0,Non-Bird,26
d51a3019-4513-4c89-8121-66d9e9ac900a,2449421,Jae Crowder,203109,203109,0,Non-Bird,26
729970ae-fef8-4e43-84fa-31d34be1cdcb,2449421,Drew Eubanks,1629234,1629234,0,Non-Bird,26
43fecfa6-4e54-447f-8a7a-d1ca09931ab9,2185116,Isaiah Stevens,1641815,1641815,2185116,Two-Way,26
58f4bf2a-aca7-4f9b-a3f0-4f8127dd2db6,2185116,Jordan Ford,1630259,1630259,0,Two-Way,26
b42e2969-d01b-49b5-85d2-42eab7a0eb7d,2185116,Patrick Baldwin Jr.,1631116,1631116,2185116,Two-Way,26
1b78f5ed-3d54-46b3-8857-f60b88f7c8c9,2185116,Mason Jones,1630222,1630222,0,Two-Way,26
4b7f028c-354b-485e-8654-93f11bf14ab5,2185116,Daeqwon Plowden,1631342,1631342,2185116,Two-Way,26
a842d6cd-08c5-405f-9d7f-133d181c4551,25545732,Kelly Olynyk,203482,203482,0,Bird,27
2917b573-2127-4551-85d4-c7fed71827d4,2449421,Bismack Biyombo,202687,202687,0,Early Bird,27
58fd6869-94dc-421a-8cfd-b91b3cc14867,2449421,Mason Plumlee,203486,203486,0,Non-Bird,27
517fe44b-c826-485d-9425-4649b30a6eb0,2449421,Lindy Waters III,1630322,1630322,0,Non-Bird,27
727c37b7-0e5e-428f-9924-9b73dafd7bc0,2185116,Harrison Ingram,1631127,1631127,2185116,Two-Way,27
0aff8207-8a5d-405b-9b14-3783177f8157,2185116,David Jones-Garcia,,,2185116,Two-Way,27
746d8995-b7ec-4ec6-8003-d3ed51afc759,5700000,Jordan Nwora,1629670,1629670,0,Bird,28
9c5daa96-61e3-478b-85ae-e79021ff25b0,2449421,Will Barton,203115,203115,0,Non-Bird,28
43417305-1b05-40ec-a3fa-4ad4125d8102,2449421,A.J. Lawson,1630639,1630639,0,Non-Bird,28
549b078f-e320-4ddd-8ba3-60399fa47fbd,2449421,Garrett Temple,202066,202066,0,Bird,28
fa96b671-dad5-4a8e-b811-28968b4c98e4,2385633,Tyreke Key,,,2385633,Draft Pick,28
2115be01-9524-40e1-ab48-92ecb9a031f1,7885000,Kevin Love,201567,201567,0,Bird,29
fb1fce02-7faf-46f7-88c6-6dea4c44c934,2449421,Elijah Harkless,1641989,1641989,0,Early Bird,29
49e2a549-880a-4455-978b-0902254ed5fe,2449421,Oscar Tshiebwe,1631131,1631131,0,Early Bird,29
46a0cf0d-2839-4929-ad3c-09d5583e01ff,2185116,Hayden Gray,1643060,1643060,0,Non-Bird,29
732e0caf-c8e0-474c-bdf1-92b864f2f941,2185116,Bez Mbeng,1643016,1643016,0,Early Bird,29
4da87f0a-53cb-4be3-add2-d4e47ad3b986,23175077,Ian Mahinmi,101133,101133,0,Bird,30
9c9262c6-ffc0-42a0-8d65-33e19efc5da7,6825000,Kendrick Nunn,1629134,1629134,0,Early Bird,30
cf29b659-9b0f-44c5-9d3e-4537452698a2,2449421,Ty Lawson,201951,201951,0,Non-Bird,30
b7fc29e4-b015-4d08-b47c-765441745a5a,2449421,Shabazz Napier,203894,203894,0,Early Bird,30
bc8a7600-f253-4511-909f-1a9836c21f8c,2449421,Tomas Satoransky,203107,203107,0,Non-Bird,30
a6756b2b-6b29-4db5-b488-6d717ba068bb,2449421,Ramon Sessions,201196,201196,0,Non-Bird,30
71ae66e4-35de-4796-af37-130e4ccddd29,2449421,Sharife Cooper,1630536,1630536,0,Non-Bird,30
6a37e005-9e9f-4ff2-9c55-5b561643a302,2449421,Anthony Gill,1630264,1630264,0,Bird,30
8eef2cc9-2666-4aad-903a-087bc4b80c53,2385633,Jamir Watkins,1642364,1642364,2385633,Restricted Non-Bird,30
2e68eb24-6381-4b76-a961-a7385b811863,2185116,JT Thor,1630550,1630550,0,Two-Way,30
400b9a61-e5b6-4f8d-ac5a-169c6422b2d3,2185116,Johnathan Williams,1629140,1629140,0,Two-Way,30
f80dd398-497b-4c5a-9ee8-74974cff03f0,2185116,Cassius Winston,1630216,1630216,0,Two-Way,30
b29f7d85-e3aa-4c16-a248-1f973fdb6213,0,"Round 2, Pick #60",,,0,,30
