team,snapshot_date,deadline_date,player_name,kind,holder,season,value,note,raw_type
boston-celtics,2026-01-16,7/1/2028,Hugo Gonzalez,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
boston-celtics,2026-01-16,6/29/2029,Hugo Gonzalez,qualifying_offer,,2029-30,8789624,,RFA / QO 2029-30 Qualifying Offer
boston-celtics,2026-01-16,6/29/2029,Jayson Tatum,option,player,2029-30,71446914,,PLAYER 2029-30 Player Option
brooklyn-nets,2026-02-26,6/29/2026,Ochai Agbaji,qualifying_offer,,2026-27,8879483,,RFA / QO 2026-27 Qualifying Offer
brooklyn-nets,2026-02-26,6/29/2026,Trendon Watford,option,club,2026-27,2801346,,CLUB 2026-27 Club Option
brooklyn-nets,2026-02-26,6/29/2026,Josh Minott,option,club,2026-27,,,CLUB 2026-27 Club Option
brooklyn-nets,2026-02-26,6/29/2026,E.J. Liddell,qualifying_offer,,2026-27,2191885,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
brooklyn-nets,2026-02-26,6/29/2026,Day'Ron Sharpe,option,club,2026-27,6250000,,CLUB 2026-27 Club Option
brooklyn-nets,2026-02-26,6/29/2026,Tyson Etienne,qualifying_offer,,2026-27,2253346,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
brooklyn-nets,2026-02-26,6/29/2026,Ziaire Williams,option,club,2026-27,6250000,,CLUB 2026-27 Club Option
brooklyn-nets,2026-02-26,6/29/2026,Jalen Wilson,qualifying_offer,,2026-27,2999264,,RFA / QO 2026-27 Qualifying Offer
brooklyn-nets,2026-02-26,6/29/2026,Chaney Johnson,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
brooklyn-nets,2026-02-26,7/6/2026,Nicolas Claxton,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
brooklyn-nets,2026-02-26,7/15/2026,Josh Minott,guarantee,,2026-27,2584539,,GUARANTEED 2026-27 Guaranteed
brooklyn-nets,2026-02-26,9/27/2026,Terance Mann,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
brooklyn-nets,2026-02-26,10/31/2026,Drake Powell,option,club,2027-28,3709320,,CLUB 2027-28 Club Option
brooklyn-nets,2026-02-26,10/31/2026,Nolan Traore,option,club,2027-28,4193040,,CLUB 2027-28 Club Option
brooklyn-nets,2026-02-26,10/31/2026,Danny Wolf,option,club,2027-28,3081840,,CLUB 2027-28 Club Option
brooklyn-nets,2026-02-26,10/31/2026,Ben Saraf,option,club,2027-28,3172920,,CLUB 2027-28 Club Option
brooklyn-nets,2026-02-26,10/31/2026,Egor Demin,option,club,2027-28,7578240,,CLUB 2027-28 Club Option
brooklyn-nets,2026-02-26,6/29/2027,Noah Clowney,qualifying_offer,,2027-28,8343027,,RFA / QO 2027-28 Qualifying Offer
brooklyn-nets,2026-02-26,10/31/2027,Danny Wolf,option,club,2028-29,5559640,,CLUB 2028-29 Club Option
brooklyn-nets,2026-02-26,10/31/2027,Egor Demin,option,club,2028-29,9639522,,CLUB 2028-29 Club Option
brooklyn-nets,2026-02-26,10/31/2027,Ben Saraf,option,club,2028-29,5720776,,CLUB 2028-29 Club Option
brooklyn-nets,2026-02-26,10/31/2027,Drake Powell,option,club,2028-29,6101832,,CLUB 2028-29 Club Option
brooklyn-nets,2026-02-26,10/31/2027,Nolan Traore,option,club,2028-29,6457282,,CLUB 2028-29 Club Option
brooklyn-nets,2026-02-26,7/1/2028,Danny Wolf,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
brooklyn-nets,2026-02-26,7/1/2028,Ben Saraf,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
brooklyn-nets,2026-02-26,7/1/2028,Nolan Traore,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
brooklyn-nets,2026-02-26,7/1/2028,Egor Demin,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
brooklyn-nets,2026-02-26,7/1/2028,Drake Powell,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
brooklyn-nets,2026-02-26,6/29/2029,Danny Wolf,qualifying_offer,,2029-30,8800910,,RFA / QO 2029-30 Qualifying Offer
brooklyn-nets,2026-02-26,6/29/2029,Ben Saraf,qualifying_offer,,2029-30,9015943,,RFA / QO 2029-30 Qualifying Offer
brooklyn-nets,2026-02-26,6/29/2029,Egor Demin,qualifying_offer,,2029-30,13958028,,RFA / QO 2029-30 Qualifying Offer
brooklyn-nets,2026-02-26,6/29/2029,Nolan Traore,qualifying_offer,,2029-30,9853812,,RFA / QO 2029-30 Qualifying Offer
brooklyn-nets,2026-02-26,6/29/2029,Drake Powell,qualifying_offer,,2029-30,9445637,,RFA / QO 2029-30 Qualifying Offer
charlotte-hornets,2026-03-11,6/29/2026,Pat Connaughton,option,club,2026-27,,non-guaranteed,CLUB 2026-27 Club Option — non-guaranteed
charlotte-hornets,2026-03-11,6/29/2026,Antonio Reeves,qualifying_offer,,2026-27,2191885,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
charlotte-hornets,2026-03-11,7/1/2026,Brandon Miller,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
charlotte-hornets,2026-03-11,7/6/2026,LaMelo Ball,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
charlotte-hornets,2026-03-11,7/14/2026,Miles Bridges,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
charlotte-hornets,2026-03-11,10/19/2026,Moussa Diabate,guarantee,,2026-27,250000,Opening Night - TBD,GUARANTEED 2026-27 Guaranteed — Opening Night - TBD
charlotte-hornets,2026-03-11,10/31/2026,Kon Knueppel,option,club,2027-28,11017560,,CLUB 2027-28 Club Option
charlotte-hornets,2026-03-11,10/31/2026,Liam McNeeley,option,club,2027-28,3040320,,CLUB 2027-28 Club Option
charlotte-hornets,2026-03-11,10/31/2026,Tidjane Salaun,option,club,2027-28,10445633,,CLUB 2027-28 Club Option
charlotte-hornets,2026-03-11,1/10/2027,Pat Connaughton,guarantee,,2026-27,3815861,,GUARANTEED 2026-27 Guaranteed
charlotte-hornets,2026-03-11,1/10/2027,Moussa Diabate,guarantee,,2026-27,2461462,,GUARANTEED 2026-27 Guaranteed
charlotte-hornets,2026-03-11,6/29/2027,Brandon Miller,qualifying_offer,,2027-28,21222000,,RFA / QO 2027-28 Qualifying Offer
charlotte-hornets,2026-03-11,6/29/2027,Tosan Evbuomwan,qualifying_offer,,2027-28,,,RFA / QO 2027-28 Qualifying Offer
charlotte-hornets,2026-03-11,6/29/2027,P.J. Hall,qualifying_offer,,2027-28,,Two-Way,RFA / QO 2027-28 Qualifying Offer — Two-Way
charlotte-hornets,2026-03-11,6/29/2027,Ryan Kalkbrenner,guarantee,,2027-28,2525901,,GUARANTEED 2027-28 Guaranteed
charlotte-hornets,2026-03-11,6/29/2027,Tre Mann,option,club,2027-28,8000000,,CLUB 2027-28 Club Option
charlotte-hornets,2026-03-11,7/1/2027,Tidjane Salaun,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
charlotte-hornets,2026-03-11,7/3/2027,Ryan Kalkbrenner,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
charlotte-hornets,2026-03-11,7/3/2027,Sion James,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
charlotte-hornets,2026-03-11,7/15/2027,Sion James,guarantee,,2027-28,2525901,,GUARANTEED 2027-28 Guaranteed
charlotte-hornets,2026-03-11,10/31/2027,Liam McNeeley,option,club,2028-29,5487778,,CLUB 2028-29 Club Option
charlotte-hornets,2026-03-11,10/31/2027,Kon Knueppel,option,club,2028-29,13937214,,CLUB 2028-29 Club Option
charlotte-hornets,2026-03-11,6/29/2028,Tidjane Salaun,qualifying_offer,,2028-29,14979038,,RFA / QO 2028-29 Qualifying Offer
charlotte-hornets,2026-03-11,6/29/2028,Sion James,option,club,2028-29,,non-guaranteed,CLUB 2028-29 Club Option — non-guaranteed
charlotte-hornets,2026-03-11,7/1/2028,Liam McNeeley,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
charlotte-hornets,2026-03-11,7/1/2028,Kon Knueppel,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
charlotte-hornets,2026-03-11,1/10/2029,Sion James,guarantee,,2028-29,2735698,,GUARANTEED 2028-29 Guaranteed
charlotte-hornets,2026-03-11,6/29/2029,Kon Knueppel,qualifying_offer,,2029-30,19776907,,RFA / QO 2029-30 Qualifying Offer
charlotte-hornets,2026-03-11,6/29/2029,Liam McNeeley,qualifying_offer,,2029-30,8780444,,RFA / QO 2029-30 Qualifying Offer
charlotte-hornets,2026-03-11,6/29/2029,Ryan Kalkbrenner,option,club,2028-29,,non-guaranteed,CLUB 2028-29 Club Option — non-guaranteed
chicago-bulls,2025-09-10,10/31/2025,Matas Buzelis,option,club,2026-27,5715360,,CLUB 2026-27 Club Option
chicago-bulls,2025-09-10,6/29/2026,Emanuel Miller,qualifying_offer,,2026-27,2253346,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
chicago-bulls,2025-09-10,6/29/2026,Yuki Kawamura,qualifying_offer,,2026-27,2191885,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
chicago-bulls,2025-09-10,6/29/2026,Caleb Grill,qualifying_offer,,2026-27,2391885,,RFA / QO 2026-27 Qualifying Offer
chicago-bulls,2025-09-10,6/29/2026,Wooga Poplar,qualifying_offer,,2026-27,2391885,,RFA / QO 2026-27 Qualifying Offer
chicago-bulls,2025-09-10,6/29/2026,Lachlan Olbrich,qualifying_offer,,2026-27,2253346,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
chicago-bulls,2025-09-10,6/29/2026,Dalen Terry,qualifying_offer,,2026-27,7661348,,RFA / QO 2026-27 Qualifying Offer
chicago-bulls,2025-09-10,6/29/2026,Julian Phillips,option,club,2026-27,2406205,,CLUB 2026-27 Club Option
chicago-bulls,2025-09-10,7/8/2026,Jalen Smith,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
chicago-bulls,2025-09-10,10/31/2026,Noa Essengue,option,club,2027-28,5972760,,CLUB 2027-28 Club Option
chicago-bulls,2025-09-10,10/31/2026,Matas Buzelis,option,club,2027-28,7584283,,CLUB 2027-28 Club Option
chicago-bulls,2025-09-10,6/29/2027,Matas Buzelis,qualifying_offer,,2028-29,11141312,,RFA / QO 2028-29 Qualifying Offer
chicago-bulls,2025-09-10,6/29/2027,Tre Jones,option,club,2027-28,8000000,,CLUB 2027-28 Club Option
chicago-bulls,2025-09-10,7/1/2027,Matas Buzelis,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
chicago-bulls,2025-09-10,7/6/2027,Patrick Williams,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
chicago-bulls,2025-09-10,7/6/2027,Tre Jones,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
chicago-bulls,2025-09-10,10/31/2027,Noa Essengue,option,club,2028-29,8230464,,CLUB 2028-29 Club Option
chicago-bulls,2025-09-10,6/29/2028,Patrick Williams,option,player,2028-29,18000000,,PLAYER 2028-29 Player Option
chicago-bulls,2025-09-10,7/1/2028,Noa Essengue,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
chicago-bulls,2025-09-10,6/29/2029,Noa Essengue,qualifying_offer,,2029-30,12148165,,RFA / QO 2029-30 Qualifying Offer
cleveland-cavaliers,2025-11-16,2/14/2026,Craig Porter Jr.,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
cleveland-cavaliers,2025-11-16,6/29/2026,Craig Porter Jr.,guarantee,,2026-27,2406205,,GUARANTEED 2026-27 Guaranteed
cleveland-cavaliers,2025-11-16,6/29/2026,Chris Livingston,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
cleveland-cavaliers,2025-11-16,6/29/2026,Nae'qwan Tomlin,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
cleveland-cavaliers,2025-11-16,6/29/2026,Lonzo Ball,option,club,2026-27,10000000,,CLUB 2026-27 Club Option
cleveland-cavaliers,2025-11-16,7/6/2026,Klay Thompson,extension_eligible,,2026-27,,,EXTENSION ELIGIBLE 2026-27 Extension Eligible
cleveland-cavaliers,2025-11-16,10/31/2026,Jaylon Tyson,option,club,2027-28,5641500,,CLUB 2027-28 Club Option
cleveland-cavaliers,2025-11-16,1/10/2027,Craig Porter Jr.,option,club,2026-27,,non-guaranteed,CLUB 2026-27 Club Option — non-guaranteed
cleveland-cavaliers,2025-11-16,2/6/2027,Lonzo Ball,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
cleveland-cavaliers,2025-11-16,6/29/2027,Donovan Mitchell,option,player,2027-28,53817156,,PLAYER 2027-28 Player Option
cleveland-cavaliers,2025-11-16,7/1/2027,Tyrese Proctor,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
cleveland-cavaliers,2025-11-16,7/1/2027,Jaylon Tyson,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
cleveland-cavaliers,2025-11-16,7/6/2027,Sam Merrill,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
cleveland-cavaliers,2025-11-16,7/7/2027,Donovan Mitchell,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
cleveland-cavaliers,2025-11-16,7/22/2027,Evan Mobley,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
cleveland-cavaliers,2025-11-16,8/2/2027,Jarrett Allen,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
cleveland-cavaliers,2025-11-16,1/10/2028,Tyrese Proctor,guarantee,,2027-28,2525901,,GUARANTEED 2027-28 Guaranteed
cleveland-cavaliers,2025-11-16,6/29/2028,Tyrese Proctor,option,club,2028-29,,non-guaranteed,CLUB 2028-29 Club Option — non-guaranteed
cleveland-cavaliers,2025-11-16,6/29/2028,Jaylon Tyson,qualifying_offer,,2028-29,8648420,,RFA / QO 2028-29 Qualifying Offer
cleveland-cavaliers,2025-11-16,1/10/2029,Tyrese Proctor,guarantee,,2028-29,2735698,,GUARANTEED 2028-29 Guaranteed
dallas-mavericks,2026-07-18,10/31/2026,Cooper Flagg,option,club,2027-28,15208680,,CLUB 2027-28 Club Option
dallas-mavericks,2026-07-18,6/29/2027,Dereck Lively II,qualifying_offer,,2027-28,10684958,,RFA / QO 2027-28 Qualifying Offer
dallas-mavericks,2026-07-18,6/29/2027,Tarik Biberovic,qualifying_offer,,2027-28,4050000,,RFA / QO 2027-28 Qualifying Offer
dallas-mavericks,2026-07-18,6/29/2027,Tobi Lawal,qualifying_offer,,2027-28,,TBD - Two-Way,RFA / QO 2027-28 Qualifying Offer — TBD - Two-Way
dallas-mavericks,2026-07-18,6/29/2027,Ryan Nembhard,qualifying_offer,,2027-28,,,RFA / QO 2027-28 Qualifying Offer
dallas-mavericks,2026-07-18,6/29/2027,Tyler Smith,qualifying_offer,,2027-28,,TBD - Two-Way,RFA / QO 2027-28 Qualifying Offer — TBD - Two-Way
dallas-mavericks,2026-07-18,6/29/2027,John Poulakidas,qualifying_offer,,2027-28,,TBD - Two-Way,RFA / QO 2027-28 Qualifying Offer — TBD - Two-Way
