season,season_id,award,tier,player_name,bbref_id,position
2024-25,2024-2025,All-NBA,2nd,Evan Mobley,mobleev01,C
2024-25,2024-2025,All-NBA,2nd,Jalen Brunson,brunsja01,G
2024-25,2024-2025,All-NBA,2nd,LeBron James,jamesle01,F
2024-25,2024-2025,All-NBA,2nd,Stephen Curry,curryst01,G
2024-25,2024-2025,All-NBA,3rd,Cade Cunningham,cunnica01,G
2024-25,2024-2025,All-NBA,3rd,Jalen Williams,willija06,F
2024-25,2024-2025,All-NBA,3rd,James Harden,hardeja01,G
2024-25,2024-2025,All-NBA,3rd,Karl-Anthony Towns,townska01,C
2024-25,2024-2025,All-NBA,3rd,Tyrese Haliburton,halibty01,G
2024-25,2024-2025,DPOY,Winner,Evan Mobley,mobleev01,
2024-25,2024-2025,MVP,Winner,Shai Gilgeous-Alexander,gilgesh01,
2025-26,2025-2026,All-NBA,1st,Cade Cunningham,cunnica01,G
2025-26,2025-2026,All-NBA,1st,Luka Dončić,doncilu01,G
2025-26,2025-2026,All-NBA,1st,Nikola Jokić,jokicni01,C
2025-26,2025-2026,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01,G
2025-26,2025-2026,All-NBA,1st,Victor Wembanyama,wembavi01,C
2025-26,2025-2026,All-NBA,2nd,Donovan Mitchell,mitchdo01,G
2025-26,2025-2026,All-NBA,2nd,Jalen Brunson,brunsja01,G
2025-26,2025-2026,All-NBA,2nd,Jaylen Brown,brownja02,F
2025-26,2025-2026,All-NBA,2nd,Kawhi Leonard,leonaka01,F
2025-26,2025-2026,All-NBA,2nd,Kevin Durant,duranke01,F
2025-26,2025-2026,All-NBA,3rd,Chet Holmgren,holmgch01,F
2025-26,2025-2026,All-NBA,3rd,Jalen Duren,durenja01,C
2025-26,2025-2026,All-NBA,3rd,Jalen Johnson,johnsja05,F
2025-26,2025-2026,All-NBA,3rd,Jamal Murray,murraja01,G
2025-26,2025-2026,All-NBA,3rd,Tyrese Maxey,maxeyty01,G
2025-26,2025-2026,DPOY,Winner,Victor Wembanyama,wembavi01,
2025-26,2025-2026,MVP,Winner,Shai Gilgeous-Alexander,gilgesh01,
