id,name,title,_source_team_ids
9307bcee-d521-4a61-b344-beb380d956a3,Matt Hill,Assistant Coach,4
2c9149d8-f3bc-40a3-aff7-5239f1b4de58,Ryan Frazier,Assistant Coach,4
d27bd816-76f9-4b10-9b21-3ff0cf49fd1f,Lamar Skeeter,Assistant Coach,4
8750bf97-d77d-480a-a267-239bfebb73fd,Charles Lee,Head Coach,4
6cfc49f6-6fe3-4e3f-9d33-80b05f8eacbf,Jeff Peterson,Executive,4
ab6511c6-b0cb-425f-90b2-6b38d14ade28,Maurice Cheeks,Assistant Coach,5
3b8825b7-531c-4cef-b76c-42e8cc02ef68,Todd Campbell,Trainer,5
5c0343a5-39f0-4b6a-b4f9-b6c492083248,Artūras Karnišovas,Executive,5
2bcfbf3b-ee6a-41bd-8f25-7666498fb554,Joshua Longstaff,Assistant Coach,5
546560cd-2cc6-44a5-9622-5a721bd4f99d,Chris Fleming,Assistant Coach,5
4301a197-69b9-43df-8a33-6d0b3de545f2,Geoffrey Puls,Strength and Conditioning,5
b8db6300-9dbf-47ce-85bb-87a8145cae66,Wes Unseld,Assistant Coach,5
e36a40a0-24cc-4f23-b61e-d97a769b0037,John Bryant,Assistant Coach,5
79f661dd-1b2c-47a4-852a-57ce01b7acdd,Damian Cotter,Assistant Coach,5
c0aa0979-bd7e-4756-9a41-c70d372b9d8c,Henry Domercant,Assistant Coach,5
98f8a2e0-b941-467d-968a-9b0ad3ebf8ec,Billy Schmidt,Assistant Coach,5
d4899447-c928-4645-a863-a9fd049fdd48,Dan Craig,Assistant Coach,5
7a0f462a-1e28-4147-97f5-b8d1d095d240,Billy Donovan,Head Coach,5
29377539-7677-4585-af82-16b8a019ed75,ArtÅ«ras KarniÅ¡ovas,Executive,5
8331a0f8-95e7-4132-b714-251d9cc39c56,Stephen Spiro,Trainer,6
c94894ff-e1e1-4d1d-b0f2-e5fd0895473d,Derek Millender,Strength and Conditioning,6
79dec26d-1717-4de4-84d3-892ea6973fbf,J.B. Bickerstaff,Head Coach,6
5ba6f33a-e8fd-4898-9391-456af0f2d864,Luke Walton,Assistant Coach,6
83f00888-f0d7-43d2-8b3b-635223422f7f,DeMarre Carroll,Assistant Coach,6
317dc9fe-9083-46a5-bd42-09ff21fecdc3,J.J. Outlaw,Assistant Coach,6
0265133f-0ed2-429b-a78c-5884389264ec,Greg Buckner,Associate Head Coach,6
d833fc39-f631-4489-aae6-cd817c3021ec,Sidney Lowe,Assistant Coach,6
dabe762d-3722-4ce3-a764-8311bc63c012,Jordan Ott,Assistant Coach,6
