id,baseSalary,capHit,capPct,name,payrollType,player,playerId,position,_source_team_ids
c035b623-ae90-4ad0-8012-76a4da051563,0,2185116,,Max Shulga,capHold,1642917,1642917,SG,2
59ef695c-01a7-45be-875c-835d24e51e3d,0,0,,Amari Williams,twoWay,1642873,1642873,"PF, C",2
73b6fe03-ba51-46e9-957e-b15c0bfcddcc,40806150,40806150,,Michael Porter Jr.,activeRoster,1629008,1629008,SF,3
9f278b06-9d52-4b5e-8430-d587a95dcb11,33333334,33333334,,Julius Randle,activeRoster,203944,203944,"PF, C",3
490d1983-6f1f-4727-b733-60ce44d7b27a,15500000,15500000,,Terance Mann,activeRoster,1629611,1629611,"SG, SF",3
50cda603-2588-4675-b9bf-0ae576f1e27f,10000000,10000000,,Day'Ron Sharpe,activeRoster,1630549,1630549,"C, PF",3
90451236-e361-4a00-b4bf-77821c1beb49,9268293,9268293,,Moritz Wagner,activeRoster,1629021,1629021,C,3
c7193c11-4113-4769-baaf-63aff712434a,9000000,9000000,,Keon Ellis,activeRoster,1631165,1631165,SG,3
084528cd-b750-4a5c-b81d-5e178c3b12ae,8787000,8787000,,Mikel Brown Jr.,activeRoster,1643414,1643414,PG,3
2f5d7710-ef24-4554-b6fa-4026da855f1e,7233720,7233720,,Egor Dëmin,activeRoster,1642856,1642856,PG,3
2900d0e7-a734-428a-a8ad-61c4fd030cd1,5414034,5414034,,Noah Clowney,activeRoster,1641730,1641730,PF,3
f8e7c13f-671d-4bbe-95d6-4dadd7ab28ea,0,5372878,,Jalen Wilson,capHold,1630592,1630592,PF,3
61dc9011-835f-4152-9c79-1eb2183220c6,4500000,4500000,,Josh Minott,activeRoster,1631169,1631169,"SF, PF",3
258afc38-1709-4d82-a81d-79247559d1d6,4002000,4002000,,Nolan Traore,activeRoster,1642849,1642849,PG,3
c9570bc4-ab3a-48f5-9015-6f9819a0afb7,3540600,3540600,,Drake Powell,activeRoster,1642962,1642962,SG,3
a05b1d90-4d8d-4532-8798-cd5636bd8a0c,3028560,3028560,,Ben Saraf,activeRoster,1642879,1642879,SG,3
ed6dd1ce-7fc9-4cc4-a33a-8a9e5530e110,2969520,2969520,,Joshua Jefferson,activeRoster,1643538,1643538,PF,3
feea7c34-8a82-428e-a6a8-3ae16afbba39,2941440,2941440,,Danny Wolf,activeRoster,1642874,1642874,PF,3
74135b19-3313-416b-bf3d-7da77ee8699e,0,2449421,,E.J. Liddell,capHold,1630604,1630604,PF,3
4e65b97d-21c9-4ee3-97b3-7eabfc4e1013,0,2185116,,Tyson Etienne,capHold,1630623,1630623,PG,3
4380db71-611f-4470-a7a2-85704b9ba394,0,0,,Chaney Johnson,twoWay,1643052,1643052,SF,3
0d84721c-4e5c-45e0-bee0-6ce68588bd76,26811593,26811593,,Coby White,activeRoster,1629632,1629632,"SG, PG",4
bcc08f54-ac50-471d-a2a6-addb99c94820,23275862,23275862,,Naz Reid,activeRoster,1629675,1629675,"C, PF",4
009f327d-05f4-4847-a8ff-7661f45bf9b0,18125000,18125000,,Grayson Allen,activeRoster,1628960,1628960,SG,4
8284c575-a373-40a3-bd26-77576f8abf10,15104626,15104626,,Brandon Miller,activeRoster,1641706,1641706,SF,4
9bd91a20-466c-4063-9af8-ec040ee40ce3,14265750,14265750,,Grant Williams,activeRoster,1629684,1629684,PF,4
33c03678-bbf5-4510-bac6-3223797d5cf8,13335000,13765987,,Dorian Finney-Smith,activeRoster,1627827,1627827,"PF, SF",4
