id,offensiveType,position,singleYearLEBRON,tier,_source_team_ids
8fe61347-346a-44ab-a715-fac1fbf03951,Shot Creator,SG,4.04,,6
1f20b370-a468-4de2-893a-c2a482a982f6,Stretch Big,C,-0.62,,6
a90387d0-9529-4358-9351-4d12f9f9f692,Low Minute,SF,-0.57,,6
e163b9f7-f885-4a55-b47c-0b3085f68e4a,Secondary Ball Handler,PG,-2.67,,6
dcbe20d2-9909-4db1-a8a0-3a4bec7526b4,,,0,,6
26c70ebe-f65d-40b4-8763-aa92cc73277e,Movement Shooter,SG,0.63,,6
fb18fc85-f026-4d47-86de-b67372b7a783,Shot Creator,PF,3.08,,6
92662f8a-e66e-40be-a1cc-eff077c3aa30,Primary Ball Handler,PG,0.64,,6
4d4b648a-ff39-45be-a837-94e5ceaf6164,Movement Shooter,SF,-0.54,,6
9989aa44-7964-43d9-9f0c-8ba01435b36a,Roll + Cut Big,C,3.39,,6
f92c03ad-58fe-4cdb-b0c1-c304fbe4f64c,Shot Creator,PG,3.48,,6
d565f9dd-cebf-4d53-b568-589de2be207f,Low Minute,PF,-1.12,,6
b583b7b1-974d-406a-a5c2-9d38ee37ea3d,Movement Shooter,SG,-2.8,,6
211c5f55-bfb6-4935-95de-2aa74734fea5,Roll + Cut Big,C,1.86,,7
fd3394d7-c2ee-4b10-8677-024b96f2d601,Stretch Big,PF,-0.64,,7
b19ee947-c7db-44c7-8db5-76bdbe610f89,Roll + Cut Big,C,1.56,,7
63d8b530-bf43-497f-ba34-ab8bb7c7a144,Shot Creator,PF,0.05,,7
bf9da89f-9b45-4a24-8c65-28bb0243e9b7,Stationary Shooter,SF,-1.39,,7
2156e7f9-ddf7-4c5e-a060-d02dac6d2c8e,Primary Ball Handler,PG,-0.4,,7
9789ab9b-0ca9-4468-bd72-91fa82986ec6,Movement Shooter,SG,-1.58,,7
34e9b16f-9e36-40b9-a420-4ff02d6bd2ae,,,0,,7
ffe1dacd-58ce-4050-a9ad-2cc6c568b03a,Movement Shooter,PF,1.07,,7
5639ea3f-8131-4619-9eb7-18525e8db974,Off Screen Shooter,SF,-0.87,,7
3308fe9e-71f7-4dac-ba57-b97e95b7baef,Shot Creator,SG,1.3,,7
161e2b7a-182f-4514-a394-8973ebd64875,Movement Shooter,SF,-2.02,,7
3a34a2fc-5bfd-4f44-8308-d642b5ad83b5,,,0,,7
40b561d8-b99c-4052-a91c-f4195d8c45dc,Primary Ball Handler,PG,-2.16,,8
eb8823bf-abdd-4082-af6d-95a6f02d5825,Shot Creator,C,7.92,,8
62077658-1554-41c4-b7ac-6bbf19bdbd29,Shot Creator,PG,1.18,,8
1b6f55d2-b9ab-48a0-b2df-db5f75fb5903,Movement Shooter,PF,0.6,,8
960a2307-30f6-45da-9077-9f09f96a92d8,Shot Creator,PF,-0.74,,8
5cbf6d78-fba7-4488-8d1d-79425fbf7feb,Stationary Shooter,SG,0.37,,8
062d689a-3163-4f6a-96a7-c0ee589204b5,Stretch Big,PF,-2.22,,8
7d25e0bb-3106-491f-be76-caa47cead082,,,0,,8
61e483aa-acbf-4e09-8f57-396bca29248f,Movement Shooter,SG,-3.18,,8
a35067d7-d729-4573-8f3a-8e3867367c76,Movement Shooter,SG,-1.97,,9
11a58647-7f85-49f8-a4dd-50b194f5bd3d,Off Screen Shooter,SF,-1.55,,9
b73666b8-8be4-4b29-a652-02eeba465b3c,Movement Shooter,SF,-1.43,,9
d63a51dc-cd43-4f9e-9240-fd4f0bc695e2,Stretch Big,PF,-0.59,,9
5e72ec0d-8613-4acf-85e1-fd0f01a088ca,Low Minute,PF,-0.41,,9
108fe1dc-d5b9-48cf-b344-4b1d9c8bd859,,,0,,9
c5c9ec12-5f8a-4ec2-8324-38cb14301b37,Movement Shooter,SG,-0.11,,9
1e5fcd1e-ef93-47de-943d-1d9be541030c,Stationary Shooter,SF,-0.94,,9
8eb81556-0edc-472d-8397-545152d73a49,Movement Shooter,SG,-0.8,,9
70747451-b547-4a52-8792-f5f61fdc50d2,Stationary Shooter,SG,-1.76,,9
b6e946d6-d43a-42a2-94f2-fb6900df6c51,Low Minute,PG,-0.31,,9
b4168166-07f6-47bd-97b5-57de496c4c12,Roll + Cut Big,C,1.95,,9
05570413-e841-414e-bddd-799a68e8d5e2,Shot Creator,PG,1.56,,9
03fcf6c1-244e-46ef-92b3-ebfe1d58eb2f,Athletic Finisher,SF,2.13,,9
4b6e2a3c-699a-482e-8804-2110004c2890,Roll + Cut Big,PF,-1.52,,9
82203086-3b0d-49f4-ac94-ad27d50c5b5e,Stationary Shooter,SG,0.25,,9
2bcef3f7-49e9-4469-8a2b-5f74dd7caf54,Versatile Big,C,2.39,,10
f596abc4-aa40-4a62-b8dd-89ac7e1dd678,Stationary Shooter,C,1.22,,10
8d17f620-bb74-433e-b7b0-59eb187bda99,Roll + Cut Big,C,0.01,,10
7b3c1e7d-fd88-4ea2-8e0e-cace54aa85be,Low Minute,SF,-1.57,,10
e413a417-1538-46d9-80cd-7afeaa49db71,Stationary Shooter,PF,2.51,,10
e6fe2f1b-b289-426c-ac9a-1397f17428a0,Primary Ball Handler,SG,1.75,,10
ebffcdb1-1db9-424c-8c06-f1985da47b84,Primary Ball Handler,PG,4.11,,10
ef67f775-cde8-4160-9b9d-c122ce1eb0b6,Movement Shooter,PF,-0.21,,10
ed7f87dc-0659-4775-83e1-bc75e39785a0,,,0,,10
d24aecb8-4fe7-45da-9079-5f720b65f331,Shot Creator,SF,3.58,,10
be756624-84c2-4ac3-8c50-304102eba095,Movement Shooter,SG,0.68,,10
2119fa7c-28cf-4610-96ca-9a091bf57218,,,0,,10
76d59a7c-0b32-4b9d-974e-fb28195be317,Shot Creator,C,2.22,,11
74235dd1-fd65-4435-895b-a8fc985bc321,Low Minute,PG,-1.29,,11
d94a5963-35e1-41fb-801a-c8fe15ce4db3,Movement Shooter,SG,-0.74,,11
30c0e401-c20a-499d-bba0-ada0a14eefd6,Shot Creator,PG,-0.06,,11
51fd0260-1c61-47ef-9460-3168ce14164a,Low Minute,SG,-0.85,,11
14c19ee2-5e90-4e5c-b27f-8128a5d9d553,Movement Shooter,PF,0.27,,11
96d803fe-c68c-42b9-bfde-f2f12c8ecb7c,Stationary Shooter,PF,1.37,,11
76f95407-c9ff-41cf-80d0-a067a55426c4,Movement Shooter,PG,-2.79,,11
cb69c43c-235b-4d2b-b14f-76290f76329d,Roll + Cut Big,C,-0.12,,11
a66498e6-cd1c-40a1-afd3-bc8e572754d8,Primary Ball Handler,PG,3.19,,11
9baa0f56-635b-452a-a835-d3699cacc1ac,Roll + Cut Big,C,-0.02,,11
aefe8871-4b55-4561-8546-9ee833e7ed85,Shot Creator,PF,0.45,,11
67fd3347-086b-4bba-9919-435a0bb4dec4,Primary Ball Handler,SF,1.65,,11
1c1faeb3-723c-411d-a6fd-d9e7361137a3,Stationary Shooter,SF,-0.62,,12
abc33ca9-2111-4c04-90de-3c7a3c510813,,,0,,12
6cbade2f-9940-4acc-8981-8620e61bdd23,Primary Ball Handler,SG,0.08,,12
91f4a0e0-da10-4182-b4f3-2f3af77ffc2d,Athletic Finisher,PG,-0.2,,12
d2f55cac-4fa8-449c-9fd8-21a4599b5ce4,Shot Creator,PF,2.32,,12
59043a24-13cb-465f-82c3-544ba8b5b3df,Stationary Shooter,PF,-1.23,,12
ab52b04a-905d-4897-8c0c-48e80f645063,Movement Shooter,C,0.25,,12
ee282f8e-8b12-4b96-96f0-c23c16cab1ba,Slasher,PG,-0.62,,12
4f7abb7b-86cd-4d2e-81e3-512acb417717,Post Scorer,C,2.98,,12
5fe3ff28-5445-402e-98dd-f2d949de2bab,Stationary Shooter,SG,-1.27,,12
1da0b6b8-db24-4c7d-a235-5decf9b76917,,,0,,12
f9a6989f-b302-4e9b-b741-12002f2e457f,Primary Ball Handler,PG,3.54,,12
3c3f68a7-8c50-47b0-bd7d-53fa685bcd9e,Movement Shooter,SF,-0.03,,12
f5e0b2e8-5327-4a3d-810e-88b194af285f,Stationary Shooter,PF,-0.68,,12
f86e4678-53fb-4f2c-a45e-e0a1c9425629,Stationary Shooter,PF,-0.72,,12
64cc6968-10d2-466c-8a84-2347777080ce,Stationary Shooter,PF,-0.3,,12
fcefb23a-5605-42ef-9c43-07d0030df9df,Movement Shooter,SG,-2.31,,12
d8893b21-65a4-4572-bb59-6be1f53a2913,Primary Ball Handler,PG,2.06,,13
8f194def-4eb0-4db8-a3a8-591a894f2776,Primary Ball Handler,SG,-1.22,,13
15eecf52-382b-4fb5-b362-112d119363fd,,,0,,13
323fa87c-933a-4ff7-b74f-a482f5bba497,Shot Creator,SF,2.29,,13
64748a2b-ff51-4bd8-b579-82c8e30fe089,,,0,,13
9bd2b564-810c-4298-86d2-202c5b1c6f39,Stationary Shooter,PF,-0.21,,13
fe1bf5ea-b958-473b-8474-06c3e206c61f,Stationary Shooter,SF,-0.51,,13
6a5b5c87-0123-4635-93ea-e71f15120c80,Stretch Big,C,0.31,,13
f39a1304-8587-4bb1-a0e6-0e6ec350ffad,,,0,,13
1f8ebd06-a835-4279-87b6-6e94d3750196,Movement Shooter,SF,-2.1,,13
1a6ceec1-495d-41ac-9f89-1f883dc81f20,Low Minute,C,-1.15,,13
dd617f42-ad0d-4f42-bcee-aab431dc9d4a,Stationary Shooter,PG,1.65,,13
05837a74-c8bd-4650-aee9-b0683ad6141d,Low Minute,SG,-0.91,,13
257c6cbd-4d4a-42ff-a4c2-e1a76c341bc9,Secondary Ball Handler,SG,-0.69,,14
dc8af14c-4f37-4956-bf91-13a17eee3686,Shot Creator,PG,6.12,,14
b12c859a-b94a-4897-bcfb-c91cb9923db5,Secondary Ball Handler,SG,-3.01,,14
7453ee7f-7cdd-486c-bde0-39a666ac96dc,,,0,,14
e6e92e91-785b-4e7d-b9db-38f59c842099,Movement Shooter,SF,-2.8,,14
550a027e-c459-4fbe-9393-9ee149a5a1c4,Stationary Shooter,PF,1.06,,14
dcd991e9-7202-4e87-8c29-db81747313c6,Primary Ball Handler,SG,1.49,,14
54a86e3a-741a-4a03-9f5f-d5cf21cb5953,Roll + Cut Big,C,2.09,,14
4b6ce63c-e22b-4f4e-83fe-f77b98c3c072,Movement Shooter,PF,-0.84,,14
37f4f47a-514c-43e5-8f4f-511c0b5428a8,Athletic Finisher,PF,-0.94,,14
f010a305-be3f-432a-822f-ff73b83b4ef9,Primary Ball Handler,SG,-1.29,,14
87c0fac6-0ca6-48de-a1c0-cb083f1d4250,Roll + Cut Big,C,1.12,,14
d765965e-d5d9-4435-85e4-c5bba2cb080d,,,0,,14
11e0a06d-924d-4f38-9037-21786e3cee90,Secondary Ball Handler,SG,-1.93,,14
b841eeb7-de84-48b6-91fb-2813c66d2a3c,Stationary Shooter,SF,-2.04,,15
5d137a34-8354-4f6b-a9cc-5fa296b936f5,,,0,,15
c977bf55-545f-45bf-8f00-2db8a93f8dbf,,,0,,15
f42c441f-0c48-467f-b0df-287c51d6b6f2,Stationary Shooter,SG,-1.11,,15
13f5260a-d81a-40ac-b2d5-42aececb5c5a,Movement Shooter,PF,-2.09,,15
bcc0cfbd-ddc8-486a-a7cd-756ac311e44b,Low Minute,PF,0.26,,15
1ac2b265-ad5f-4ebb-b109-1d1353d7f765,Roll + Cut Big,C,-0.75,,15
bf685eb0-a119-4237-8799-85e15d196193,Primary Ball Handler,SG,1.56,,15
2d648bb7-46c6-40d8-adc8-6c291421675d,Primary Ball Handler,SG,-3.56,,15
d20b5bde-e6cd-4872-b2ab-75005b6f8bed,Movement Shooter,SG,-0.53,,15
402f8a42-650a-47d9-bd08-ac295754c957,Primary Ball Handler,PG,0.88,,15
3d81cf68-707d-4f09-8d88-8735734c281f,,,0,,15
e4463827-3c2f-45c4-b2b6-2d65061c49ce,,,0,,15
